Account;2018-02-11;2018-02-12;2018-02-13;2018-02-14;2018-02-15
CERN;2560547;2560289;2560000;2560057;2559626
EU_Commission;901250;901793;902311;902838;903351
UN;10043995;10046941;10050103;10052673;10055733
EUCouncil;308891;309092;309277;309491;309697
ONU_es;933385;934083;934876;935436;936010
UNICEF;7105693;7106457;7107600;7105431;7104597
sockington;1422982;1422811;1422568;1422458;1422267
Fascinatingpics;6356582;6357955;6361509;6363376;6363569
shedancestibet;24008;24002;24007;24011;24000
A_single_bear;111505;111555;111600;111682;111778
BronxZoosCobra;159124;159112;159111;159101;159098
MoveTheWorld;117553;117566;117587;117600;117627
peta;1060523;1060564;1060589;1060647;1060667
dodo;710757;713452;715780;717833;719277
BuzzFeedAnimals;104402;104480;104537;104564;104624
NationalZoo;419432;419053;418563;418438;417933
fabulousanimals;1098714;1097520;1096869;1096835;1095024
darth;115948;116018;116117;116236;116309
EmrgencyKittens;6380472;6383161;6388284;6393542;6394462
AnimalPlanet;1582528;1582640;1582731;1582945;1583172
natgeowild;921996;921891;921732;921697;921278
TEDTalks;10962156;10963129;10964093;10964561;10964543
materia_ciencia;700210;700690;701196;701632;702172
cienciaplus;386889;387123;387341;387509;387658
WIREDScience;2096592;2096789;2097143;2097271;2097369
ScienceMarchDC;356102;356076;356082;356078;356105
sciencemagazine;1110569;1111043;1111529;1111946;1112225
sciencemuseum;662211;662319;662449;662559;662671
aaas;86132;86200;86314;86430;86569
NSF;1086457;1086506;1086582;1086607;1086603
PopSci;1260357;1260377;1260409;1260378;1260208
scienceworldca;17067;17072;17082;17081;17082
rdfrs;78569;78795;78886;79025;79112
MarsCuriosity;3924023;3924315;3924646;3924912;3924972
cienciatmx;23;23;23;23;23
CdeCiencia;52214;52305;52411;52484;52591
StockTwits;596613;596747;596898;597025;597109
business;4597821;4599943;4602357;4604201;4606219
1Brokercom;4511;4523;4559;4565;4590
LSFinancial;15383;15384;15383;15382;15383
TV_TradingIdeas;13487;13490;13511;13523;13528
mytradingbuddy;85102;85075;85049;85005;84944
HarvardBiz;5329488;5329370;5329824;5329451;5328685
BabyPips;86203;86256;86317;86368;86394
FTTradingRoom;23322;23342;23357;23362;23370
TradingNation;16269;16299;16327;16355;16375
BigCheds;29994;30701;31236;31691;32125
DanielsTrading;6468;6467;6467;6468;6466
canuck2usa;41805;41890;41975;42015;42056
BourseetTrading;14611;14639;14653;14661;14659
mytradingbuddy;85102;85075;85049;85005;84944
tradingview;39771;39902;39993;40092;40192
LSFinancial;15383;15384;15383;15382;15383
TV_TradingIdeas;13487;13490;13511;13523;13528
