Account;2018-03-21
bonappetit;3224892.0
NatGeoFood;35904.0
TwitterFood;838697.0
Fooddotcom;30.0
newfoodeconomy;6233.0
bflay;2717906.0
RealCarrotFacts;221077.0
NYTFood;1420456.0
CivilEats;92714.0
Seriouseats;806872.0
RealCapnCrunch;41689.0
iowagirleats;15293.0
spoonuniversity;17275.0
foodandwine;6682030.0
epicurious;2802562.0
Newsweek;3425500.0
nytimes;41495955.0
NBCNews;5947766.0
CNN;39816089.0
washingtonpost;12290091.0
BBCWorld;22934177.0
WSJ;15649713.0
FoxNews;17465827.0
ABC;13733956.0
Reuters;19517525.0
el_pais;6596566.0
abc_es;1529883.0
antena3com;1359213.0
noticias_cuatro;804105.0
24h_tve;1268340.0
ecosdelbalon;38759.0
NYT4thDownBot;25891.0
baseballpro;115292.0
FutbolAvanzado;24830.0
NBA;27447376.0
LaLiga;3534076.0
AnalyseSport;8562.0
Olympics;6189370.0
wizard_cfc;15813.0
ThatGuyTipsterr;8698.0
moneyballfutbol;2807.0
Multi_Apuesta;50276.0
AP_Sports;120286.0
sportbible;
SportsCenter;35598862.0
livefolk;204.0
travel;6415813.0
NatGeoTravel;6620671.0
TravelLeisure;4026200.0
Earth_Pics;
EarthPix;3060583.0
frugaltraveler;516951.0
nytimestravel;1143359.0
BBC_Travel;984858.0
TelegraphTravel;285643.0
TravelMagazine;2793775.0
CNTraveler;3234480.0
ThatsEarth;1462110.0
chicagoideas;39387.0
ViajaEnElMundo;131416.0
TheBlondeSalad;9953.0
kenzo;324185.0
voguemagazine;13683113.0
BritishVogue;3610388.0
ELLEmagazine;6869588.0
Cosmopolitan;1727486.0
Fashionista_com;2254690.0
WhoWhatWear;2329232.0
TheCut;1431284.0
TimesFashion;2506456.0
ELLEUK;1220818.0
LondonFashionWk;1270277.0
VictoriasSecret;11515391.0
styleinmadrid;28482.0
RevistaInStyle;31129.0
Sephora;2390089.0
CiudadanosCs;464727.0
Bcnisnotcat_;55381.0
AMI__cat;37724.0
TheDemocrats;1431755.0
epp;125155.0
ahorapodemos;1327768.0
CNNPolitics;2641062.0
bpolitics;237431.0
ABCPolitics;691662.0
MSNBC;2053917.0
latimes;3226060.0
thehill;3034774.0
vox_es;71599.0
cope_es;342492.0
OndaCero_es;496263.0
UberFacts;14519645.0
BuzzFeed;6496403.0
SavedYouAClick;259883.0
MoviePass;47497.0
kalesalad;165099.0
cuantocabron;209107.0
ladbible;2052083.0
mental_floss;650945.0
elmundotoday;1172240.0
Cabronazi;254200.0
lavecinarubia;397284.0
pourmecoffee;280894.0
NFL_Memes;441966.0
9GAG;14790284.0
funnyordie;14400001.0
netflix;4833893.0
hbo;1931275.0
FOXTV;1260408.0
SonyPicsTeens;2981310.0
Miramax;428016.0
NBC;1806501.0
La1_tve;535471.0
laSextaTV;898433.0
9gagtv;187097.0
PrimeVideo;373878.0
hulu;532244.0
CBS;978912.0
shows_tv;14341.0
MarvelStudios;807189.0
TwitterMovies;7196948.0
policia;3142978.0
CIA;2291926.0
WhiteHouse;16825513.0
casareal;839394.0
nswpolice;153721.0
guardiacivil;1212958.0
DGTes;202782.0
esa;831487.0
NASA;28928642.0
CERN;2584591.0
EU_Commission;920376.0
UN;10205584.0
EUCouncil;317764.0
ONU_es;959768.0
UNICEF;7183588.0
sockington;1419809.0
Fascinatingpics;6651000.0
shedancestibet;23991.0
A_single_bear;113202.0
BronxZoosCobra;158938.0
MoveTheWorld;118351.0
peta;1062642.0
dodo;785545.0
BuzzFeedAnimals;106497.0
NationalZoo;433060.0
fabulousanimals;
darth;120421.0
EmrgencyKittens;6746353.0
AnimalPlanet;1606762.0
natgeowild;926512.0
TEDTalks;11039731.0
materia_ciencia;723857.0
cienciaplus;399218.0
WIREDScience;2099226.0
ScienceMarchDC;356209.0
sciencemagazine;1127648.0
sciencemuseum;667335.0
aaas;89206.0
NSF;1090649.0
PopSci;1264565.0
scienceworldca;17548.0
rdfrs;81185.0
MarsCuriosity;3933451.0
cienciatmx;23.0
CdeCiencia;56668.0
StockTwits;600317.0
business;4670341.0
1Brokercom;4725.0
LSFinancial;15377.0
TV_TradingIdeas;13898.0
mytradingbuddy;84312.0
HarvardBiz;5372413.0
BabyPips;87563.0
FTTradingRoom;23680.0
TradingNation;17266.0
BigCheds;52889.0
DanielsTrading;6462.0
canuck2usa;43649.0
BourseetTrading;15476.0
mytradingbuddy;84312.0
tradingview;42465.0
LSFinancial;15377.0
TV_TradingIdeas;13898.0
