Account;2018-03-14
bonappetit;3213104.0
NatGeoFood;35813.0
TwitterFood;838453.0
Fooddotcom;30.0
newfoodeconomy;6101.0
bflay;2709901.0
RealCarrotFacts;221328.0
NYTFood;1419999.0
CivilEats;92495.0
Seriouseats;805979.0
RealCapnCrunch;41665.0
iowagirleats;15293.0
spoonuniversity;17261.0
foodandwine;6676609.0
epicurious;2800377.0
Newsweek;3423586.0
nytimes;41404768.0
NBCNews;5926040.0
CNN;39720076.0
washingtonpost;12242840.0
BBCWorld;22860270.0
WSJ;15622196.0
FoxNews;17400365.0
ABC;13665353.0
Reuters;19480649.0
el_pais;6588880.0
abc_es;1527006.0
antena3com;1358059.0
noticias_cuatro;802979.0
24h_tve;1266729.0
ecosdelbalon;38709.0
NYT4thDownBot;25910.0
baseballpro;115132.0
FutbolAvanzado;24482.0
NBA;27413654.0
LaLiga;3518792.0
AnalyseSport;8566.0
Olympics;6155447.0
wizard_cfc;15577.0
ThatGuyTipsterr;8237.0
moneyballfutbol;2817.0
Multi_Apuesta;50185.0
AP_Sports;120195.0
sportbible;
SportsCenter;35566279.0
livefolk;203.0
travel;6336003.0
NatGeoTravel;6587796.0
TravelLeisure;4021368.0
Earth_Pics;8491313.0
EarthPix;3033067.0
frugaltraveler;516885.0
nytimestravel;1142535.0
BBC_Travel;983597.0
TelegraphTravel;285064.0
TravelMagazine;2789648.0
CNTraveler;3218381.0
ThatsEarth;1462529.0
chicagoideas;39375.0
ViajaEnElMundo;130912.0
TheBlondeSalad;9935.0
kenzo;320759.0
voguemagazine;13670140.0
BritishVogue;3608561.0
ELLEmagazine;6864939.0
Cosmopolitan;1726613.0
Fashionista_com;2253412.0
WhoWhatWear;2329434.0
TheCut;1430763.0
TimesFashion;2506092.0
ELLEUK;1220736.0
LondonFashionWk;1269521.0
VictoriasSecret;11506855.0
styleinmadrid;28489.0
RevistaInStyle;31098.0
Sephora;2388404.0
CiudadanosCs;463559.0
Bcnisnotcat_;54965.0
AMI__cat;37526.0
TheDemocrats;1429572.0
epp;125005.0
ahorapodemos;1326419.0
CNNPolitics;2630930.0
bpolitics;236334.0
ABCPolitics;688571.0
MSNBC;2045305.0
latimes;3219494.0
thehill;3020885.0
vox_es;70790.0
cope_es;342015.0
OndaCero_es;495616.0
UberFacts;14517365.0
BuzzFeed;6481336.0
SavedYouAClick;259730.0
MoviePass;47082.0
kalesalad;163723.0
cuantocabron;209250.0
ladbible;2048590.0
mental_floss;649829.0
elmundotoday;1168409.0
Cabronazi;253617.0
lavecinarubia;392745.0
pourmecoffee;280604.0
NFL_Memes;442057.0
9GAG;14722260.0
funnyordie;14395863.0
netflix;4815682.0
hbo;1928558.0
FOXTV;1258471.0
SonyPicsTeens;2981943.0
Miramax;428310.0
NBC;1803733.0
La1_tve;534578.0
laSextaTV;897378.0
9gagtv;187147.0
PrimeVideo;373113.0
hulu;532346.0
CBS;976778.0
shows_tv;14337.0
MarvelStudios;733663.0
TwitterMovies;7194284.0
policia;3137480.0
CIA;2287249.0
WhiteHouse;16786490.0
casareal;836367.0
nswpolice;153469.0
guardiacivil;1206532.0
DGTes;202017.0
esa;829309.0
NASA;28820981.0
CERN;2575305.0
EU_Commission;917067.0
UN;10176368.0
EUCouncil;316283.0
ONU_es;954395.0
UNICEF;7165052.0
sockington;1420132.0
Fascinatingpics;6578009.0
shedancestibet;23958.0
A_single_bear;112832.0
BronxZoosCobra;158981.0
MoveTheWorld;118208.0
peta;1061819.0
dodo;777074.0
BuzzFeedAnimals;106158.0
NationalZoo;428717.0
fabulousanimals;1095429.0
darth;119711.0
EmrgencyKittens;6641672.0
AnimalPlanet;1598130.0
natgeowild;924905.0
TEDTalks;11024152.0
materia_ciencia;718947.0
cienciaplus;397169.0
WIREDScience;2098610.0
ScienceMarchDC;356178.0
sciencemagazine;1123884.0
sciencemuseum;666541.0
aaas;88670.0
NSF;1089642.0
PopSci;1263200.0
scienceworldca;17497.0
rdfrs;80675.0
MarsCuriosity;3932347.0
cienciatmx;22.0
CdeCiencia;55901.0
StockTwits;599794.0
business;4655522.0
1Brokercom;4679.0
LSFinancial;15373.0
TV_TradingIdeas;13945.0
mytradingbuddy;84260.0
HarvardBiz;5363537.0
BabyPips;87305.0
FTTradingRoom;23625.0
TradingNation;17124.0
BigCheds;50246.0
DanielsTrading;6460.0
canuck2usa;43453.0
BourseetTrading;15260.0
mytradingbuddy;84260.0
tradingview;41981.0
LSFinancial;15373.0
TV_TradingIdeas;13945.0
