Account;2018-04-05
bonappetit;3246415.0
NatGeoFood;36083.0
TwitterFood;839210.0
Fooddotcom;30.0
newfoodeconomy;6435.0
bflay;2739309.0
RealCarrotFacts;220482.0
NYTFood;1421940.0
CivilEats;93085.0
Seriouseats;814375.0
RealCapnCrunch;41710.0
iowagirleats;15283.0
spoonuniversity;17290.0
foodandwine;6691293.0
epicurious;2808790.0
Newsweek;3428443.0
nytimes;41674179.0
NBCNews;5989176.0
CNN;40000141.0
washingtonpost;12378698.0
BBCWorld;23074015.0
WSJ;15706627.0
FoxNews;17593669.0
ABC;13834458.0
Reuters;19588211.0
el_pais;6612409.0
abc_es;1536455.0
antena3com;1361363.0
noticias_cuatro;806334.0
24h_tve;1270989.0
ecosdelbalon;38866.0
NYT4thDownBot;25824.0
baseballpro;115854.0
FutbolAvanzado;25500.0
NBA;27509232.0
LaLiga;3558341.0
AnalyseSport;8548.0
Olympics;6263341.0
wizard_cfc;16350.0
ThatGuyTipsterr;9299.0
moneyballfutbol;2836.0
Multi_Apuesta;50388.0
AP_Sports;120446.0
sportbible;1299641.0
SportsCenter;35657202.0
livefolk;205.0
travel;6578587.0
NatGeoTravel;6682740.0
TravelLeisure;4035630.0
Earth_Pics;
EarthPix;3118281.0
frugaltraveler;517121.0
nytimestravel;1144626.0
BBC_Travel;986913.0
TelegraphTravel;287026.0
TravelMagazine;2802589.0
CNTraveler;3270303.0
ThatsEarth;1461755.0
chicagoideas;39432.0
ViajaEnElMundo;132197.0
TheBlondeSalad;9985.0
kenzo;328019.0
voguemagazine;13710453.0
BritishVogue;3613989.0
ELLEmagazine;6879289.0
Cosmopolitan;1729343.0
Fashionista_com;2256992.0
WhoWhatWear;2328322.0
TheCut;1432227.0
TimesFashion;2507465.0
ELLEUK;1220817.0
LondonFashionWk;1272174.0
VictoriasSecret;11536659.0
styleinmadrid;28478.0
RevistaInStyle;31151.0
Sephora;2396004.0
CiudadanosCs;467199.0
Bcnisnotcat_;58169.0
AMI__cat;38709.0
TheDemocrats;1435579.0
epp;125367.0
ahorapodemos;1329974.0
CNNPolitics;2655551.0
bpolitics;238428.0
ABCPolitics;693043.0
MSNBC;2065903.0
latimes;3239554.0
thehill;3055868.0
vox_es;73866.0
cope_es;343308.0
OndaCero_es;497560.0
UberFacts;14518980.0
BuzzFeed;6519047.0
SavedYouAClick;260195.0
MoviePass;48718.0
kalesalad;168345.0
cuantocabron;208787.0
ladbible;2056602.0
mental_floss;654953.0
elmundotoday;1179963.0
Cabronazi;255593.0
lavecinarubia;406370.0
pourmecoffee;281358.0
NFL_Memes;441503.0
9GAG;14955105.0
funnyordie;14408662.0
netflix;4885130.0
hbo;1939837.0
FOXTV;1263086.0
SonyPicsTeens;2979646.0
Miramax;427389.0
NBC;1811960.0
La1_tve;537066.0
laSextaTV;900893.0
9gagtv;187017.0
PrimeVideo;375537.0
hulu;537244.0
CBS;981825.0
shows_tv;14353.0
MarvelStudios;867734.0
TwitterMovies;7199634.0
policia;3154062.0
CIA;2300711.0
WhiteHouse;16898426.0
casareal;846878.0
nswpolice;154473.0
guardiacivil;1222591.0
DGTes;204265.0
esa;838395.0
NASA;29150837.0
CERN;2607158.0
EU_Commission;926467.0
UN;10269477.0
EUCouncil;321146.0
ONU_es;967811.0
UNICEF;7216310.0
sockington;1421318.0
Fascinatingpics;6818055.0
shedancestibet;24061.0
A_single_bear;113941.0
BronxZoosCobra;158815.0
MoveTheWorld;118806.0
peta;1063471.0
dodo;813683.0
BuzzFeedAnimals;108353.0
NationalZoo;452294.0
fabulousanimals;
darth;121923.0
EmrgencyKittens;6937714.0
AnimalPlanet;1627050.0
natgeowild;929045.0
TEDTalks;11078129.0
materia_ciencia;733923.0
cienciaplus;402124.0
WIREDScience;2100428.0
ScienceMarchDC;355974.0
sciencemagazine;1135068.0
sciencemuseum;669429.0
aaas;90104.0
NSF;1093101.0
PopSci;1266359.0
scienceworldca;17644.0
rdfrs;82111.0
MarsCuriosity;3944484.0
cienciatmx;23.0
CdeCiencia;58517.0
StockTwits;601736.0
business;4699892.0
1Brokercom;4781.0
LSFinancial;15396.0
TV_TradingIdeas;13964.0
mytradingbuddy;84425.0
HarvardBiz;5394275.0
BabyPips;88150.0
FTTradingRoom;23795.0
TradingNation;17575.0
BigCheds;56250.0
DanielsTrading;6466.0
canuck2usa;44089.0
BourseetTrading;15913.0
tradingview;43257.0
