Account;2018-03-22
bonappetit;3226641.0
NatGeoFood;35917.0
TwitterFood;838744.0
Fooddotcom;30.0
newfoodeconomy;6273.0
bflay;2719379.0
RealCarrotFacts;221029.0
NYTFood;1420518.0
CivilEats;92734.0
Seriouseats;807190.0
RealCapnCrunch;41693.0
iowagirleats;15293.0
spoonuniversity;17279.0
foodandwine;6682900.0
epicurious;2802908.0
Newsweek;3425722.0
nytimes;41509002.0
NBCNews;5951569.0
CNN;39829246.0
washingtonpost;12296698.0
BBCWorld;22944393.0
WSJ;15653821.0
FoxNews;17474989.0
ABC;13745207.0
Reuters;19522122.0
el_pais;6597621.0
abc_es;1530289.0
antena3com;1359369.0
noticias_cuatro;804252.0
24h_tve;1268527.0
ecosdelbalon;38754.0
NYT4thDownBot;25883.0
baseballpro;115304.0
FutbolAvanzado;24895.0
NBA;27451808.0
LaLiga;3535852.0
AnalyseSport;8562.0
Olympics;6193293.0
wizard_cfc;15838.0
ThatGuyTipsterr;8712.0
moneyballfutbol;2813.0
Multi_Apuesta;50307.0
AP_Sports;120295.0
sportbible;
SportsCenter;35604259.0
livefolk;205.0
travel;6428882.0
NatGeoTravel;6625570.0
TravelLeisure;4026865.0
Earth_Pics;
EarthPix;3065904.0
frugaltraveler;516941.0
nytimestravel;1143459.0
BBC_Travel;985011.0
TelegraphTravel;285725.0
TravelMagazine;2794454.0
CNTraveler;3236919.0
ThatsEarth;1461998.0
chicagoideas;39389.0
ViajaEnElMundo;131466.0
TheBlondeSalad;9957.0
kenzo;324531.0
voguemagazine;13685286.0
BritishVogue;3610645.0
ELLEmagazine;6870188.0
Cosmopolitan;1727578.0
Fashionista_com;2254809.0
WhoWhatWear;2329168.0
TheCut;1431342.0
TimesFashion;2506510.0
ELLEUK;1220846.0
LondonFashionWk;1270390.0
VictoriasSecret;11517047.0
styleinmadrid;28486.0
RevistaInStyle;31132.0
Sephora;2390247.0
CiudadanosCs;464910.0
Bcnisnotcat_;55721.0
AMI__cat;37744.0
TheDemocrats;1432262.0
epp;125201.0
ahorapodemos;1327900.0
CNNPolitics;2642517.0
bpolitics;237531.0
ABCPolitics;692028.0
MSNBC;2055104.0
latimes;3226937.0
thehill;3036639.0
vox_es;71697.0
cope_es;342530.0
OndaCero_es;496351.0
UberFacts;14520128.0
BuzzFeed;6498454.0
SavedYouAClick;259885.0
MoviePass;47568.0
kalesalad;165237.0
cuantocabron;209070.0
ladbible;2052594.0
mental_floss;651178.0
elmundotoday;1172725.0
Cabronazi;254300.0
lavecinarubia;398007.0
pourmecoffee;280886.0
NFL_Memes;441948.0
9GAG;14803655.0
funnyordie;14400496.0
netflix;4836703.0
hbo;1931667.0
FOXTV;1260665.0
SonyPicsTeens;2981210.0
Miramax;427965.0
NBC;1806811.0
La1_tve;535596.0
laSextaTV;898604.0
9gagtv;187082.0
PrimeVideo;374082.0
hulu;532303.0
CBS;979114.0
shows_tv;14336.0
MarvelStudios;810741.0
TwitterMovies;7197261.0
policia;3143739.0
CIA;2292550.0
WhiteHouse;16832565.0
casareal;839825.0
nswpolice;153742.0
guardiacivil;1213776.0
DGTes;202841.0
esa;831778.0
NASA;28944550.0
CERN;2586072.0
EU_Commission;920981.0
UN;10210576.0
EUCouncil;318175.0
ONU_es;960609.0
UNICEF;7187588.0
sockington;1419819.0
Fascinatingpics;6662731.0
shedancestibet;23991.0
A_single_bear;113200.0
BronxZoosCobra;158942.0
MoveTheWorld;118376.0
peta;1062727.0
dodo;786964.0
BuzzFeedAnimals;106531.0
NationalZoo;435341.0
fabulousanimals;
darth;120569.0
EmrgencyKittens;6760715.0
AnimalPlanet;1608031.0
natgeowild;926726.0
TEDTalks;11042888.0
materia_ciencia;724570.0
cienciaplus;399483.0
WIREDScience;2099304.0
ScienceMarchDC;356213.0
sciencemagazine;1128155.0
sciencemuseum;667451.0
aaas;89284.0
NSF;1090776.0
PopSci;1264705.0
scienceworldca;17554.0
rdfrs;81239.0
MarsCuriosity;3933984.0
cienciatmx;23.0
CdeCiencia;56749.0
StockTwits;600415.0
business;4672679.0
1Brokercom;4732.0
LSFinancial;15382.0
TV_TradingIdeas;13876.0
mytradingbuddy;84324.0
HarvardBiz;5374464.0
BabyPips;87617.0
FTTradingRoom;23695.0
TradingNation;17291.0
BigCheds;53204.0
DanielsTrading;6463.0
canuck2usa;43680.0
BourseetTrading;15499.0
mytradingbuddy;84324.0
tradingview;42511.0
LSFinancial;15382.0
TV_TradingIdeas;13876.0
