Account;2018-03-23
bonappetit;3228267.0
NatGeoFood;35924.0
TwitterFood;838775.0
Fooddotcom;30.0
newfoodeconomy;6287.0
bflay;2721131.0
RealCarrotFacts;221002.0
NYTFood;1420586.0
CivilEats;92741.0
Seriouseats;808091.0
RealCapnCrunch;41692.0
iowagirleats;15291.0
spoonuniversity;17279.0
foodandwine;6683661.0
epicurious;2803348.0
Newsweek;3426040.0
nytimes;41521067.0
NBCNews;5954840.0
CNN;39841718.0
washingtonpost;12302993.0
BBCWorld;22954161.0
WSJ;15657730.0
FoxNews;17484030.0
ABC;13754120.0
Reuters;19526759.0
el_pais;6598713.0
abc_es;1530808.0
antena3com;1359490.0
noticias_cuatro;804422.0
24h_tve;1268731.0
ecosdelbalon;38756.0
NYT4thDownBot;25877.0
baseballpro;115325.0
FutbolAvanzado;24921.0
NBA;27455636.0
LaLiga;3537546.0
AnalyseSport;8564.0
Olympics;6196853.0
wizard_cfc;15885.0
ThatGuyTipsterr;8753.0
moneyballfutbol;2816.0
Multi_Apuesta;50317.0
AP_Sports;120309.0
sportbible;
SportsCenter;35608086.0
livefolk;204.0
travel;6440114.0
NatGeoTravel;6629660.0
TravelLeisure;4027544.0
Earth_Pics;
EarthPix;3070277.0
frugaltraveler;516934.0
nytimestravel;1143536.0
BBC_Travel;985138.0
TelegraphTravel;285818.0
TravelMagazine;2795108.0
CNTraveler;3239325.0
ThatsEarth;1461934.0
chicagoideas;39401.0
ViajaEnElMundo;131517.0
TheBlondeSalad;9959.0
kenzo;324709.0
voguemagazine;13687268.0
BritishVogue;3610831.0
ELLEmagazine;6870766.0
Cosmopolitan;1727643.0
Fashionista_com;2254869.0
WhoWhatWear;2329049.0
TheCut;1431368.0
TimesFashion;2506561.0
ELLEUK;1220844.0
LondonFashionWk;1270470.0
VictoriasSecret;11518409.0
styleinmadrid;28484.0
RevistaInStyle;31135.0
Sephora;2390457.0
CiudadanosCs;465117.0
Bcnisnotcat_;55989.0
AMI__cat;37821.0
TheDemocrats;1432724.0
epp;125230.0
ahorapodemos;1328116.0
CNNPolitics;2643818.0
bpolitics;237652.0
ABCPolitics;692250.0
MSNBC;2056033.0
latimes;3228045.0
thehill;3038354.0
vox_es;71973.0
cope_es;342591.0
OndaCero_es;496462.0
UberFacts;14520629.0
BuzzFeed;6500134.0
SavedYouAClick;259885.0
MoviePass;47727.0
kalesalad;165457.0
cuantocabron;209060.0
ladbible;2053055.0
mental_floss;651490.0
elmundotoday;1173300.0
Cabronazi;254403.0
lavecinarubia;398526.0
pourmecoffee;280904.0
NFL_Memes;441942.0
9GAG;14816029.0
funnyordie;14401023.0
netflix;4839055.0
hbo;1931994.0
FOXTV;1260851.0
SonyPicsTeens;2981127.0
Miramax;427937.0
NBC;1807060.0
La1_tve;535702.0
laSextaTV;898792.0
9gagtv;187064.0
PrimeVideo;374220.0
hulu;532399.0
CBS;979264.0
shows_tv;14335.0
MarvelStudios;813745.0
TwitterMovies;7197472.0
policia;3144564.0
CIA;2293097.0
WhiteHouse;16839142.0
casareal;840251.0
nswpolice;153807.0
guardiacivil;1214448.0
DGTes;202943.0
esa;832107.0
NASA;28962066.0
CERN;2587540.0
EU_Commission;921555.0
UN;10214882.0
EUCouncil;318593.0
ONU_es;961200.0
UNICEF;7190798.0
sockington;1419786.0
Fascinatingpics;6673197.0
shedancestibet;23993.0
A_single_bear;113245.0
BronxZoosCobra;158938.0
MoveTheWorld;118397.0
peta;1062697.0
dodo;788393.0
BuzzFeedAnimals;106593.0
NationalZoo;437255.0
fabulousanimals;
darth;120787.0
EmrgencyKittens;6773240.0
AnimalPlanet;1609389.0
natgeowild;926927.0
TEDTalks;11045635.0
materia_ciencia;725277.0
cienciaplus;399719.0
WIREDScience;2099352.0
ScienceMarchDC;356177.0
sciencemagazine;1128649.0
sciencemuseum;667562.0
aaas;89342.0
NSF;1090919.0
PopSci;1264794.0
scienceworldca;17561.0
rdfrs;81271.0
MarsCuriosity;3934959.0
cienciatmx;23.0
CdeCiencia;56857.0
StockTwits;600510.0
business;4674865.0
1Brokercom;4733.0
LSFinancial;15382.0
TV_TradingIdeas;13856.0
mytradingbuddy;84365.0
HarvardBiz;5375926.0
BabyPips;87644.0
FTTradingRoom;23692.0
TradingNation;17300.0
BigCheds;53581.0
DanielsTrading;6464.0
canuck2usa;43693.0
BourseetTrading;15531.0
mytradingbuddy;84365.0
tradingview;42535.0
LSFinancial;15382.0
TV_TradingIdeas;13856.0
