Account;2018-04-08
bonappetit;3250506.0
NatGeoFood;36101.0
TwitterFood;839281.0
Fooddotcom;30.0
newfoodeconomy;6444.0
bflay;2742500.0
RealCarrotFacts;220372.0
NYTFood;1422336.0
CivilEats;93132.0
Seriouseats;815106.0
RealCapnCrunch;41691.0
iowagirleats;15281.0
spoonuniversity;17294.0
foodandwine;6693057.0
epicurious;2810003.0
Newsweek;3429141.0
nytimes;41708006.0
NBCNews;5997993.0
CNN;40036495.0
washingtonpost;12396990.0
BBCWorld;23103997.0
WSJ;15717212.0
FoxNews;17617493.0
ABC;13853626.0
Reuters;19600410.0
el_pais;6615747.0
abc_es;1537968.0
antena3com;1361969.0
noticias_cuatro;806828.0
24h_tve;1271577.0
ecosdelbalon;38889.0
NYT4thDownBot;25817.0
baseballpro;115955.0
FutbolAvanzado;25571.0
NBA;27521081.0
LaLiga;3565064.0
AnalyseSport;8542.0
Olympics;6278843.0
wizard_cfc;16443.0
ThatGuyTipsterr;9399.0
moneyballfutbol;2842.0
Multi_Apuesta;50399.0
AP_Sports;120492.0
sportbible;1299462.0
SportsCenter;35671340.0
livefolk;205.0
travel;6607392.0
NatGeoTravel;6694518.0
TravelLeisure;4037277.0
Earth_Pics;
EarthPix;3129631.0
frugaltraveler;517153.0
nytimestravel;1144960.0
BBC_Travel;987368.0
TelegraphTravel;287361.0
TravelMagazine;2804544.0
CNTraveler;3277155.0
ThatsEarth;1462085.0
chicagoideas;39451.0
ViajaEnElMundo;132258.0
TheBlondeSalad;9989.0
kenzo;328697.0
voguemagazine;13715602.0
BritishVogue;3614670.0
ELLEmagazine;6881430.0
Cosmopolitan;1729963.0
Fashionista_com;2257525.0
WhoWhatWear;2328269.0
TheCut;1432517.0
TimesFashion;2507803.0
ELLEUK;1220875.0
LondonFashionWk;1272754.0
VictoriasSecret;11540308.0
styleinmadrid;28478.0
RevistaInStyle;31152.0
Sephora;2397071.0
CiudadanosCs;467804.0
Bcnisnotcat_;58317.0
AMI__cat;38858.0
TheDemocrats;1436127.0
epp;125397.0
ahorapodemos;1330542.0
CNNPolitics;2657161.0
bpolitics;238545.0
ABCPolitics;693488.0
MSNBC;2070267.0
latimes;3242286.0
thehill;3059429.0
vox_es;74573.0
cope_es;343560.0
OndaCero_es;497871.0
UberFacts;14518828.0
BuzzFeed;6523497.0
SavedYouAClick;260189.0
MoviePass;48975.0
kalesalad;168970.0
cuantocabron;208730.0
ladbible;2057357.0
mental_floss;655745.0
elmundotoday;1181371.0
Cabronazi;255884.0
lavecinarubia;408733.0
pourmecoffee;281423.0
NFL_Memes;441387.0
9GAG;14987825.0
funnyordie;14410428.0
netflix;4896331.0
hbo;1941400.0
FOXTV;1263528.0
SonyPicsTeens;2979113.0
Miramax;427253.0
NBC;1813183.0
La1_tve;537499.0
laSextaTV;901437.0
9gagtv;186954.0
PrimeVideo;375730.0
hulu;537491.0
CBS;982481.0
shows_tv;14370.0
MarvelStudios;880466.0
TwitterMovies;7199820.0
policia;3156337.0
CIA;2302293.0
WhiteHouse;16915852.0
casareal;848540.0
nswpolice;154560.0
guardiacivil;1225341.0
DGTes;204457.0
esa;839372.0
NASA;29195430.0
CERN;2610982.0
EU_Commission;927783.0
UN;10283277.0
EUCouncil;321614.0
ONU_es;969477.0
UNICEF;7222486.0
sockington;1422078.0
Fascinatingpics;6849348.0
shedancestibet;24078.0
A_single_bear;114136.0
BronxZoosCobra;158804.0
MoveTheWorld;118915.0
peta;1064574.0
dodo;822576.0
BuzzFeedAnimals;108414.0
NationalZoo;455014.0
fabulousanimals;
darth;122091.0
EmrgencyKittens;6973787.0
AnimalPlanet;1631351.0
natgeowild;929731.0
TEDTalks;11087089.0
materia_ciencia;735461.0
cienciaplus;402443.0
WIREDScience;2100519.0
ScienceMarchDC;356019.0
sciencemagazine;1136741.0
sciencemuseum;669927.0
aaas;90322.0
NSF;1093782.0
PopSci;1266869.0
scienceworldca;17651.0
rdfrs;82397.0
MarsCuriosity;3946637.0
cienciatmx;25.0
CdeCiencia;58737.0
StockTwits;601867.0
business;4704757.0
1Brokercom;4810.0
LSFinancial;15403.0
TV_TradingIdeas;13995.0
mytradingbuddy;84442.0
HarvardBiz;5399999.0
BabyPips;88274.0
FTTradingRoom;23808.0
TradingNation;17614.0
BigCheds;56572.0
DanielsTrading;6467.0
canuck2usa;44196.0
BourseetTrading;15992.0
tradingview;43503.0
