Account;2018-02-11;2018-02-12;2018-02-13;2018-02-14;2018-02-15;2018-02-16;2018-02-17;2018-02-18;2018-02-19;2018-02-20;2018-02-21;2018-02-22;2018-02-23;2018-02-24;2018-02-25;2018-02-26;2018-02-27;2018-02-28;2018-03-01;2018-03-02;2018-03-03;2018-03-04;2018-03-05;2018-03-06;2018-03-07;2018-03-08;2018-03-09;2018-03-10;2018-03-11;2018-03-12;2018-03-13;2018-03-14;2018-03-15;2018-03-16;2018-03-17;2018-03-18;2018-03-19;2018-03-20;2018-03-21;2018-03-22;2018-03-23;2018-03-24;2018-03-25;2018-03-26;2018-03-27;2018-03-28;2018-03-29;2018-03-30;2018-03-31;2018-04-01;2018-04-02;2018-04-03
BBCWorld;22604040;22609176;22615770;22622249;22628786;22636787;22641669;22649464;22656664;22662740;22671632;22680544;22688955;22697796;22708261;22718307;22728642;22737692;22743077;22747294;22754697;22764648;22774479;22784752;22795505;22804183;22808260;22815434;22824587;22834517;22847044.0;22860270.0;22871189.0;22881640.0;22892908.0;22903780.0;22914068.0;22923688.0;22934177.0;22944393.0;22954161.0;22964048.0;22972964.0;22982010.0;22991785.0;23000333.0;23008962.0;23017561.0;23025925.0;23033980.0;23043722.0;23052891.0
WSJ;15514500;15517579;15521202;15524293;15527587;15531149;15534204;15537516;15540665;15543124;15547939;15552235;15555954;15559972;15564198;15568357;15572618;15577085;15580477;15583468;15587081;15590745;15594320;15598257;15602419;15604889;15604382;15606107;15609519;15613382;15617705.0;15622196.0;15626327.0;15629861.0;15633800.0;15637562.0;15641464.0;15645270.0;15649713.0;15653821.0;15657730.0;15661645.0;15665283.0;15668996.0;15673614.0;15677309.0;15680990.0;15684522.0;15687955.0;15690972.0;15694704.0;15698391.0
FoxNews;17173031;17178254;17184287;17191134;17198574;17206042;17211794;17218833;17225813;17231238;17239956;17248610;17256093;17264428;17272608;17281286;17291242;17300150;17302773;17304969;17310030;17318169;17326387;17335599;17344411;17352591;17358174;17364742;17372011;17380222;17390431.0;17400365.0;17410022.0;17419338.0;17428750.0;17438241.0;17447358.0;17456233.0;17465827.0;17474989.0;17484030.0;17492951.0;17500899.0;17508680.0;17517603.0;17525626.0;17533670.0;17542083.0;17550500.0;17557731.0;17566664.0;17575048.0
ABC;13454669;13456536;13457631;13458924;13460333;13463365;13464340;13472149;13479866;13485028;13494983;13503041;13511047;13519485;13527034;13535961;13544516;13552072;13553200;13554244;13560776;13571054;13580844;13591535;13602056;13611130;13617633;13625843;13634676;13644300;13655394.0;13665353.0;13677171.0;13687372.0;13697555.0;13707911.0;13717439.0;13723661.0;13733956.0;13745207.0;13754120.0;13762768.0;13768922.0;13774538.0;13780489.0;13786191.0;13792443.0;13798424.0;13804092.0;13809159.0;13815321.0;13820550.0
Reuters;19374104;19376348;19379263;19382632;19385529;19389338;19391138;19391291;19390578;19390337;19394785;19398527;19402228;19406112;19409727;19413715;19417762;19422186;19425277;19428108;19432341;19436645;19441357;19446783;19452537;19456017;19456300;19459387;19464243;19469368;19474991.0;19480649.0;19486093.0;19491679.0;19497519.0;19503467.0;19508874.0;19512817.0;19517525.0;19522122.0;19526759.0;19531193.0;19535442.0;19539268.0;19543932.0;19547566.0;19552602.0;19557757.0;19562763.0;19567177.0;19572239.0;19576672.0
el_pais;6554301;6555279;6556416;6557240;6558249;6559409;6560342;6561523;6562728;6563881;6564982;6566258;6567174;6568175;6569366;6570343;6571471;6572709;6573735;6574542;6575461;6576623;6577655;6578705;6579943;6581029;6581415;6582212;6584405;6586002;6587476.0;6588880.0;6590070.0;6591100.0;6591930.0;6593015.0;6594114.0;6595356.0;6596566.0;6597621.0;6598713.0;6599649.0;6600949.0;6602058.0;6603218.0;6604091.0;6604888.0;6605583.0;6606473.0;6607459.0;6608581.0;6609685.0
abc_es;1513438;1513840;1514271;1514623;1515007;1515426;1515740;1516221;1516717;1517094;1517514;1517959;1518326;1518714;1519184;1519611;1520064;1520543;1520932;1521282;1521671;1522117;1522525;1522922;1523400;1523755;1523963;1524263;1525118;1525806;1526460.0;1527006.0;1527478.0;1527953.0;1528390.0;1528561.0;1528917.0;1529356.0;1529883.0;1530289.0;1530808.0;1531234.0;1531792.0;1532196.0;1532626.0;1532974.0;1533352.0;1533756.0;1534089.0;1534539.0;1534939.0;1535372.0
antena3com;1352440;1352604;1352739;1352876;1352974;1353119;1353220;1353378;1353515;1353690;1353820;1353963;1354127;1354272;1354405;1354595;1354811;1355024;1355204;1355399;1355612;1355888;1356043;1356240;1356471;1356629;1356634;1356737;1357208;1357557;1357804.0;1358059.0;1358221.0;1358423.0;1358562.0;1358718.0;1358889.0;1359017.0;1359213.0;1359369.0;1359490.0;1359622.0;1359835.0;1359960.0;1360137.0;1360243.0;1360371.0;1360466.0;1360553.0;1360632.0;1360754.0;1360934.0
noticias_cuatro;798000;798132;798265;798374;798463;798586;798717;798890;799019;799150;799266;799440;799598;799722;799866;800018;800176;800351;800502;800630;800806;800973;801135;801285;801458;801596;801637;801736;802201;802505;802767.0;802979.0;803150.0;803333.0;803456.0;803639.0;803801.0;803927.0;804105.0;804252.0;804422.0;804578.0;804821.0;804986.0;805175.0;805285.0;805401.0;805537.0;805653.0;805776.0;805892.0;806014.0
24h_tve;1259884;1260055;1260276;1260442;1260598;1260815;1260968;1261193;1261355;1261530;1261646;1261869;1262100;1262264;1262430;1262627;1262858;1263058;1263235;1263426;1263690;1263983;1264211;1264397;1264601;1264768;1264895;1265068;1265647;1266044;1266421.0;1266729.0;1267030.0;1267280.0;1267438.0;1267694.0;1267924.0;1268097.0;1268340.0;1268527.0;1268731.0;1268901.0;1269233.0;1269419.0;1269585.0;1269726.0;1269877.0;1270043.0;1270179.0;1270310.0;1270442.0;1270591.0
ecosdelbalon;38154;38215;38280;38310;38333;38337;38344;38353;38365;38399;38403;38416;38420;38430;38439;38455;38491;38503;38514;38519;38515;38526;38530;38544;38555;38641;38648;38671;38678;38690;38709.0;38709.0;38719.0;38724.0;38735.0;38742.0;38745.0;38754.0;38759.0;38754.0;38756.0;38761.0;38758.0;38753.0;38779.0;38799.0;38806.0;38806.0;38818.0;38822.0;38824.0;38841.0
NYT4thDownBot;26045;26042;26042;26031;26029;26028;26021;26016;26005;25998;25989;25990;25984;25979;25973;25970;25969;25967;25961;25958;25952;25945;25944;25937;25935;25928;25921;25916;25917;25913;25910.0;25910.0;25905.0;25908.0;25904.0;25899.0;25902.0;25898.0;25891.0;25883.0;25877.0;25866.0;25863.0;25860.0;25857.0;25855.0;25852.0;25849.0;25850.0;25846.0;25837.0;25831.0
baseballpro;114065;114092;114150;114168;114198;114237;114277;114340;114369;114419;114464;114498;114511;114554;114597;114647;114681;114711;114753;114768;114794;114818;114832;114867;114907;114927;114953;114972;115012;115052;115097.0;115132.0;115155.0;115160.0;115174.0;115196.0;115229.0;115250.0;115292.0;115304.0;115325.0;115347.0;115383.0;115416.0;115441.0;115509.0;115585.0;115627.0;115657.0;115707.0;115744.0;115779.0
FutbolAvanzado;21955;22005;22081;22137;22174;22196;22211;22221;22552;22785;22890;22944;22966;22986;23004;23066;23112;23187;23221;23236;23259;23495;23580;23855;24005;24089;24128;24185;24195;24275;24441.0;24482.0;24515.0;24581.0;24622.0;24677.0;24726.0;24786.0;24830.0;24895.0;24921.0;24940.0;24981.0;25010.0;25044.0;25111.0;25162.0;25187.0;25194.0;25223.0;25270.0;25332.0
NBA;27295012;27298003;27300587;27302770;27304532;27307746;27311645;27317306;27320275;27322807;27327542;27331970;27335867;27340280;27344699;27349305;27353752;27358106;27362410;27365718;27370665;27376013;27381206;27386075;27390951;27393478;27390362;27392197;27397336;27403486;27408634.0;27413654.0;27418670.0;27423795.0;27429012.0;27433862.0;27438452.0;27442916.0;27447376.0;27451808.0;27455636.0;27460185.0;27464133.0;27468093.0;27472777.0;27476056.0;27479764.0;27483356.0;27487368.0;27491525.0;27495738.0;27499657.0
LaLiga;3448107;3450130;3452203;3454058;3455800;3457879;3459976;3462914;3465376;3467614;3469655;3471717;3473512;3476298;3478584;3480672;3483143;3485202;3487073;3488333;3490763;3494121;3496868;3499976;3502590;3504615;3506268;3509014;3511403;3513604;3515953.0;3518792.0;3520869.0;3523158.0;3525280.0;3528414.0;3530700.0;3532445.0;3534076.0;3535852.0;3537546.0;3539172.0;3540583.0;3541920.0;3543157.0;3544288.0;3545596.0;3547007.0;3549274.0;3550887.0;3552536.0;3554423.0
AnalyseSport;8565;8564;8566;8570;8569;8565;8566;8565;8567;8563;8564;8563;8565;8565;8565;8566;8567;8571;8571;8569;8569;8569;8568;8572;8572;8572;8572;8571;8568;8564;8564.0;8566.0;8567.0;8565.0;8566.0;8564.0;8565.0;8559.0;8562.0;8562.0;8564.0;8563.0;8564.0;8562.0;8562.0;8560.0;8561.0;8557.0;8554.0;8554.0;8553.0;8551.0
Olympics;5961572;5968315;5975404;5979966;5984020;5989422;5995789;6000591;6005279;6010138;6018324;6023847;6028411;6038534;6076123;6079798;6083882;6087034;6088781;6089544;6093664;6099326;6104635;6111730;6119300;6124980;6129957;6134901;6139270;6144049;6149569.0;6155447.0;6161939.0;6168048.0;6173042.0;6177698.0;6181744.0;6185578.0;6189370.0;6193293.0;6196853.0;6201646.0;6206429.0;6209737.0;6213644.0;6218802.0;6222654.0;6227847.0;6234678.0;6240731.0;6246855.0;6251637.0
wizard_cfc;14301;14357;14464;14530;14590;14661;14690;14760;14786;14898;14925;14952;14965;14984;14994;14991;15030;15088;15127;15157;15201;15235;15249;15304;15335;15358;15405;15455;15493;15530;15549.0;15577.0;15612.0;15623.0;15652.0;15674.0;15703.0;15754.0;15813.0;15838.0;15885.0;15922.0;16037.0;16061.0;16076.0;16135.0;16158.0;16182.0;16209.0;16213.0;16233.0;16244.0
ThatGuyTipsterr;7075;7072;7080;7091;7087;7171;7244;7253;7285;7401;7446;7550;7567;7611;7666;7680;7757;7802;7808;7900;7922;7952;7965;7988;8009;8073;8157;8176;8175;8192;8199.0;8237.0;8250.0;8326.0;8357.0;8453.0;8484.0;8653.0;8698.0;8712.0;8753.0;8941.0;8942.0;8966.0;8996.0;9041.0;9028.0;9111.0;9144.0;9192.0;9212.0;9234.0
moneyballfutbol;2819;2821;2821;2822;2822;2823;2822;2824;2826;2819;2819;2820;2818;2822;2822;2825;2827;2826;2823;2825;2827;2828;2830;2831;2827;2826;2812;2812;2816;2816;2818.0;2817.0;2816.0;2819.0;2816.0;2817.0;2817.0;2809.0;2807.0;2813.0;2816.0;2816.0;2817.0;2817.0;2820.0;2822.0;2822.0;2822.0;2825.0;2824.0;2832.0;2834.0
Multi_Apuesta;49811;49822;49838;49901;49912;49915;49915;49926;49940;49957;49975;49984;49985;49985;50003;50013;50032;50030;50035;50040;50047;50056;50051;50109;50130;50116;50101;50109;50101;50098;50168.0;50185.0;50190.0;50181.0;50216.0;50220.0;50240.0;50251.0;50276.0;50307.0;50317.0;50318.0;50343.0;50357.0;50354.0;50357.0;50353.0;50363.0;50364.0;50372.0;50383.0;50380.0
AP_Sports;119334;119401;119491;119532;119561;119587;119638;119685;119744;119785;119855;119883;119933;119981;120040;120056;120071;120074;120066;120055;120071;120129;120160;120180;120205;120180;120139;120132;120138;120156;120173.0;120195.0;120189.0;120214.0;120231.0;120232.0;120255.0;120276.0;120286.0;120295.0;120309.0;120318.0;120323.0;120339.0;120346.0;120377.0;120389.0;120402.0;120409.0;120413.0;120411.0;120401.0
sportbible;1299560;1299513;1299401;1299444;1299389;1299488;1299575;1299616;1299655;1299692;1299751;1299846;1299908;1299978;1300068;1300175;1300252;1300282;1300429;1300550;1300678;1300764;1300787;1300868;1300960;1300906;1300568;1300485;1300499;1300516;;;;;;;;;;;;;;378450.0;1299833.0;1299862.0;1299810.0;1299828.0;1299765.0;1299782.0;1299729.0;1299747.0
SportsCenter;35485692;35489074;35492213;35494828;35494858;35496384;35495798;35484498;35471284;35463844;35469162;35475024;35479612;35484984;35490589;35495897;35501379;35505339;35508225;35511242;35516476;35523299;35530254;35537346;35543872;35547327;35543565;35545162;35550112;35555175;35560849.0;35566279.0;35571913.0;35576171.0;35581092.0;35585725.0;35590168.0;35594156.0;35598862.0;35604259.0;35608086.0;35612238.0;35615326.0;35618342.0;35622592.0;35625583.0;35629002.0;35631861.0;35635944.0;35639770.0;35643598.0;35646954.0
livefolk;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;202;202;202.0;203.0;203.0;203.0;203.0;203.0;204.0;204.0;204.0;205.0;204.0;204.0;205.0;204.0;204.0;204.0;204.0;204.0;204.0;204.0;204.0;204.0
travel;6124748;6121716;6122482;6119802;6109799;6111427;6107435;6113753;6119759;6121889;6130043;6138497;6148148;6158605;6166672;6176452;6184509;6192659;6195974;6196996;6207312;6221312;6235445;6249098;6261932;6271286;6281376;6291604;6301443;6312101;6323579.0;6336003.0;6346118.0;6358858.0;6371098.0;6384026.0;6395184.0;6404465.0;6415813.0;6428882.0;6440114.0;6452310.0;6464913.0;6476526.0;6487362.0;6498638.0;6510114.0;6523089.0;6535796.0;6546807.0;6555763.0;6561106.0
NatGeoTravel;6506841;6506865;6507802;6507328;6506436;6507670;6507017;6509155;6511430;6512495;6515395;6518666;6522050;6525738;6529005;6532899;6537149;6540318;6540499;6539684;6542511;6547089;6552016;6556858;6561284;6564732;6567906;6571425;6574938;6578927;6583059.0;6587796.0;6592109.0;6596627.0;6601462.0;6606806.0;6611572.0;6615964.0;6620671.0;6625570.0;6629660.0;6634129.0;6638115.0;6641884.0;6645798.0;6649804.0;6653802.0;6657450.0;6661799.0;6665669.0;6670617.0;6673653.0
TravelLeisure;4013157;4012965;4012668;4012447;4011571;4011105;4010169;4010175;4010297;4010250;4010589;4010945;4011268;4011750;4012117;4012540;4013118;4013936;4014103;4014218;4014774;4015304;4015954;4016671;4017372;4017827;4017780;4018254;4018925;4019705;4020512.0;4021368.0;4022133.0;4022854.0;4023596.0;4024342.0;4024971.0;4025507.0;4026200.0;4026865.0;4027544.0;4028272.0;4028967.0;4029575.0;4030363.0;4030943.0;4031662.0;4032223.0;4032874.0;4033483.0;4033981.0;4034426.0
Earth_Pics;8443891;8440753;8436711;8431919;8424157;8421234;8415794;8417432;8419210;8418526;8422229;8425729;8428866;8432849;8436168;8440342;8442385;8444908;8443444;8441286;8444459;8449794;8455506;8461297;8466201;8469174;8472214;8475757;8479022;8483142;8487102.0;8491313.0;;;;;;;;;;;;;;;;;;;;
EarthPix;3000529;3001725;3004139;3005340;3005708;3007153;3008322;3010444;3012326;3013384;3015689;3018000;3020189;3022739;3024533;3026921;3028672;3030218;3029268;3027735;3029404;3032772;3034218;3034126;3034039;3033603;3033038;3032808;3032565;3032508;3032456.0;3033067.0;3036424.0;3039938.0;3044053.0;3048554.0;3052200.0;3055786.0;3060583.0;3065904.0;3070277.0;3074601.0;3079203.0;3083165.0;3087802.0;3090602.0;3093527.0;3096506.0;3099681.0;3102948.0;3108502.0;3112077.0
frugaltraveler;517018;517008;517000;516988;516956;516941;516921;516915;516919;516907;516903;516911;516899;516902;516924;516925;516938;516947;516948;516963;517031;517061;517059;517078;517087;517039;516862;516828;516846;516851;516856.0;516885.0;516894.0;516921.0;516916.0;516965.0;516973.0;516969.0;516951.0;516941.0;516934.0;516941.0;516945.0;516954.0;516973.0;516978.0;516984.0;516980.0;517054.0;517074.0;517076.0;517090.0
nytimestravel;1138847;1138882;1138955;1139016;1138986;1139103;1139054;1139169;1139350;1139462;1139656;1139837;1139976;1140205;1140413;1140638;1140883;1141219;1141278;1141345;1141623;1141755;1141885;1142028;1142153;1142153;1141916;1141923;1142070;1142230;1142375.0;1142535.0;1142638.0;1142767.0;1142901.0;1143036.0;1143199.0;1143291.0;1143359.0;1143459.0;1143536.0;1143603.0;1143654.0;1143708.0;1143821.0;1143846.0;1143951.0;1143999.0;1144028.0;1144079.0;1144214.0;1144332.0
BBC_Travel;979116;979245;979438;979607;979728;979891;980010;980162;980351;980487;980718;980951;981096;981358;981545;981779;981987;982106;982136;982182;982365;982551;982715;982898;983074;983119;982757;982766;982934;983138;983371.0;983597.0;983774.0;983952.0;984143.0;984341.0;984556.0;984716.0;984858.0;985011.0;985138.0;985287.0;985435.0;985544.0;985750.0;985841.0;985965.0;986105.0;986212.0;986320.0;986469.0;986610.0
TelegraphTravel;282749;282826;282921;282986;283028;283080;283137;283204;283284;283358;283435;283512;283586;283659;283740;283814;283878;283960;284020;284025;284141;284202;284309;284387;284535;284639;284567;284635;284725;284830;284964.0;285064.0;285143.0;285244.0;285340.0;285426.0;285507.0;285569.0;285643.0;285725.0;285818.0;285920.0;286037.0;286144.0;286247.0;286341.0;286429.0;286518.0;286572.0;286625.0;286734.0;286823.0
