Account;2018-04-06
bonappetit;3247837.0
NatGeoFood;36091.0
TwitterFood;839235.0
Fooddotcom;30.0
newfoodeconomy;6437.0
bflay;2740295.0
RealCarrotFacts;220443.0
NYTFood;1422032.0
CivilEats;93107.0
Seriouseats;814594.0
RealCapnCrunch;41699.0
iowagirleats;15282.0
spoonuniversity;17290.0
foodandwine;6691967.0
epicurious;2809123.0
Newsweek;3428687.0
nytimes;41685623.0
NBCNews;5991988.0
CNN;40012178.0
washingtonpost;12384837.0
BBCWorld;23083701.0
WSJ;15710326.0
FoxNews;17601973.0
ABC;13840866.0
Reuters;19592292.0
el_pais;6613448.0
abc_es;1536887.0
antena3com;1361630.0
noticias_cuatro;806529.0
24h_tve;1271187.0
ecosdelbalon;38870.0
NYT4thDownBot;25825.0
baseballpro;115877.0
FutbolAvanzado;25548.0
NBA;27512986.0
LaLiga;3559918.0
AnalyseSport;8546.0
Olympics;6268823.0
wizard_cfc;16389.0
ThatGuyTipsterr;9320.0
moneyballfutbol;2834.0
Multi_Apuesta;50400.0
AP_Sports;120453.0
sportbible;1299641.0
SportsCenter;35661450.0
livefolk;205.0
travel;6588259.0
NatGeoTravel;6686811.0
TravelLeisure;4036143.0
Earth_Pics;
EarthPix;3121700.0
frugaltraveler;517140.0
nytimestravel;1144749.0
BBC_Travel;987064.0
TelegraphTravel;287133.0
TravelMagazine;2803255.0
CNTraveler;3272672.0
ThatsEarth;1461874.0
chicagoideas;39443.0
ViajaEnElMundo;132223.0
TheBlondeSalad;9984.0
kenzo;328225.0
voguemagazine;13712135.0
BritishVogue;3614227.0
ELLEmagazine;6879985.0
Cosmopolitan;1729505.0
Fashionista_com;2257160.0
WhoWhatWear;2328286.0
TheCut;1432331.0
TimesFashion;2507557.0
ELLEUK;1220835.0
LondonFashionWk;1272370.0
VictoriasSecret;11537776.0
styleinmadrid;28480.0
RevistaInStyle;31152.0
Sephora;2396386.0
CiudadanosCs;467427.0
Bcnisnotcat_;58212.0
AMI__cat;38768.0
TheDemocrats;1435758.0
epp;125385.0
ahorapodemos;1330172.0
CNNPolitics;2656071.0
bpolitics;238483.0
ABCPolitics;693185.0
MSNBC;2067127.0
latimes;3240462.0
thehill;3057137.0
vox_es;74195.0
cope_es;343416.0
OndaCero_es;497706.0
UberFacts;14519080.0
BuzzFeed;6520539.0
SavedYouAClick;260191.0
MoviePass;48826.0
kalesalad;168576.0
cuantocabron;208764.0
ladbible;2056821.0
mental_floss;655219.0
elmundotoday;1180528.0
Cabronazi;255678.0
lavecinarubia;407045.0
pourmecoffee;281387.0
NFL_Memes;441453.0
9GAG;14965717.0
funnyordie;14409243.0
netflix;4888866.0
hbo;1940447.0
FOXTV;1263273.0
SonyPicsTeens;2979449.0
Miramax;427344.0
NBC;1812325.0
La1_tve;537230.0
laSextaTV;901081.0
9gagtv;186993.0
PrimeVideo;375601.0
hulu;537339.0
CBS;982023.0
shows_tv;14356.0
MarvelStudios;871928.0
TwitterMovies;7199687.0
policia;3154757.0
CIA;2301279.0
WhiteHouse;16902967.0
casareal;847485.0
nswpolice;154499.0
guardiacivil;1223408.0
DGTes;204326.0
esa;838706.0
NASA;29165434.0
CERN;2608489.0
EU_Commission;926902.0
UN;10274446.0
EUCouncil;321307.0
ONU_es;968308.0
UNICEF;7218195.0
sockington;1421552.0
Fascinatingpics;6828836.0
shedancestibet;24066.0
A_single_bear;113963.0
BronxZoosCobra;158818.0
MoveTheWorld;118833.0
peta;1063601.0
dodo;816186.0
BuzzFeedAnimals;108388.0
NationalZoo;453256.0
fabulousanimals;
darth;122027.0
EmrgencyKittens;6950285.0
AnimalPlanet;1628492.0
natgeowild;929277.0
TEDTalks;11081126.0
materia_ciencia;734482.0
cienciaplus;402221.0
WIREDScience;2100376.0
ScienceMarchDC;355989.0
sciencemagazine;1135654.0
sciencemuseum;669590.0
aaas;90182.0
NSF;1093351.0
PopSci;1266522.0
scienceworldca;17644.0
rdfrs;82270.0
MarsCuriosity;3945238.0
cienciatmx;24.0
CdeCiencia;58586.0
StockTwits;601769.0
business;4701691.0
1Brokercom;4787.0
LSFinancial;15397.0
TV_TradingIdeas;13977.0
mytradingbuddy;84423.0
HarvardBiz;5395974.0
BabyPips;88194.0
FTTradingRoom;23802.0
TradingNation;17596.0
BigCheds;56314.0
DanielsTrading;6464.0
canuck2usa;44167.0
BourseetTrading;15933.0
tradingview;43365.0
