Account;2018-04-01
bonappetit;3239754.0
NatGeoFood;36026.0
TwitterFood;838980.0
Fooddotcom;29.0
newfoodeconomy;6404.0
bflay;2734753.0
RealCarrotFacts;220665.0
NYTFood;1421508.0
CivilEats;92965.0
Seriouseats;812618.0
RealCapnCrunch;41712.0
iowagirleats;15282.0
spoonuniversity;17295.0
foodandwine;6689090.0
epicurious;2807617.0
Newsweek;3427692.0
nytimes;41623995.0
NBCNews;5977323.0
CNN;39948605.0
washingtonpost;12353596.0
BBCWorld;23033980.0
WSJ;15690972.0
FoxNews;17557731.0
ABC;13809159.0
Reuters;19567177.0
el_pais;6607459.0
abc_es;1534539.0
antena3com;1360632.0
noticias_cuatro;805776.0
24h_tve;1270310.0
ecosdelbalon;38822.0
NYT4thDownBot;25846.0
baseballpro;115707.0
FutbolAvanzado;25223.0
NBA;27491525.0
LaLiga;3550887.0
AnalyseSport;8554.0
Olympics;6240731.0
wizard_cfc;16213.0
ThatGuyTipsterr;9192.0
moneyballfutbol;2824.0
Multi_Apuesta;50372.0
AP_Sports;120413.0
sportbible;1299782.0
SportsCenter;35639770.0
livefolk;204.0
travel;6546807.0
NatGeoTravel;6665669.0
TravelLeisure;4033483.0
Earth_Pics;
EarthPix;3102948.0
frugaltraveler;517074.0
nytimestravel;1144079.0
BBC_Travel;986320.0
TelegraphTravel;286625.0
TravelMagazine;2799905.0
CNTraveler;3258946.0
ThatsEarth;1461453.0
chicagoideas;39419.0
ViajaEnElMundo;132104.0
TheBlondeSalad;9979.0
kenzo;326999.0
voguemagazine;13703410.0
BritishVogue;3612870.0
ELLEmagazine;6876243.0
Cosmopolitan;1728737.0
Fashionista_com;2256063.0
WhoWhatWear;2328419.0
TheCut;1431741.0
TimesFashion;2507084.0
ELLEUK;1220758.0
LondonFashionWk;1271745.0
VictoriasSecret;11532370.0
styleinmadrid;28486.0
RevistaInStyle;31153.0
Sephora;2393777.0
CiudadanosCs;466642.0
Bcnisnotcat_;57911.0
AMI__cat;38550.0
TheDemocrats;1434700.0
epp;125297.0
ahorapodemos;1329486.0
CNNPolitics;2652238.0
bpolitics;238156.0
ABCPolitics;692856.0
MSNBC;2061889.0
latimes;3235768.0
thehill;3050859.0
vox_es;73435.0
cope_es;343055.0
OndaCero_es;497206.0
UberFacts;14517615.0
BuzzFeed;6513032.0
SavedYouAClick;260154.0
MoviePass;48407.0
kalesalad;167334.0
cuantocabron;208874.0
ladbible;2055542.0
mental_floss;654058.0
elmundotoday;1177876.0
Cabronazi;255250.0
lavecinarubia;403820.0
pourmecoffee;281328.0
NFL_Memes;441642.0
9GAG;14919512.0
funnyordie;14405588.0
netflix;4870431.0
hbo;1937419.0
FOXTV;1262338.0
SonyPicsTeens;2980143.0
Miramax;427564.0
NBC;1810366.0
La1_tve;536603.0
laSextaTV;900161.0
9gagtv;187021.0
PrimeVideo;375124.0
hulu;536513.0
CBS;981012.0
shows_tv;14347.0
MarvelStudios;845515.0
TwitterMovies;7198743.0
policia;3151544.0
CIA;2298262.0
WhiteHouse;16878329.0
casareal;844482.0
nswpolice;154100.0
guardiacivil;1220083.0
DGTes;203980.0
esa;836551.0
NASA;29091198.0
CERN;2601471.0
EU_Commission;924990.0
UN;10249672.0
EUCouncil;320516.0
ONU_es;965659.0
UNICEF;7208597.0
sockington;1420664.0
Fascinatingpics;6778453.0
shedancestibet;24039.0
A_single_bear;113660.0
BronxZoosCobra;158823.0
MoveTheWorld;118693.0
peta;1063228.0
dodo;806563.0
BuzzFeedAnimals;107885.0
NationalZoo;450737.0
fabulousanimals;
darth;121585.0
EmrgencyKittens;6890260.0
AnimalPlanet;1621232.0
natgeowild;928300.0
TEDTalks;11067598.0
materia_ciencia;731131.0
cienciaplus;401290.0
WIREDScience;2099744.0
ScienceMarchDC;355991.0
sciencemagazine;1132783.0
sciencemuseum;668734.0
aaas;89797.0
NSF;1092061.0
PopSci;1265615.0
scienceworldca;17621.0
rdfrs;81856.0
MarsCuriosity;3941596.0
cienciatmx;23.0
CdeCiencia;58060.0
StockTwits;601216.0
business;4691804.0
1Brokercom;4767.0
LSFinancial;15390.0
TV_TradingIdeas;13925.0
mytradingbuddy;84392.0
HarvardBiz;5388517.0
BabyPips;87996.0
FTTradingRoom;23757.0
TradingNation;17477.0
BigCheds;55628.0
DanielsTrading;6465.0
canuck2usa;43979.0
BourseetTrading;15787.0
mytradingbuddy;84392.0
tradingview;43054.0
LSFinancial;15390.0
TV_TradingIdeas;13925.0
