Account;2018-03-30
bonappetit;3237146.0
NatGeoFood;36017.0
TwitterFood;838924.0
Fooddotcom;29.0
newfoodeconomy;6390.0
bflay;2732478.0
RealCarrotFacts;220726.0
NYTFood;1421349.0
CivilEats;92931.0
Seriouseats;811516.0
RealCapnCrunch;41706.0
iowagirleats;15282.0
spoonuniversity;17295.0
foodandwine;6687906.0
epicurious;2806754.0
Newsweek;3427539.0
nytimes;41603496.0
NBCNews;5973305.0
CNN;39926415.0
washingtonpost;12342680.0
BBCWorld;23017561.0
WSJ;15684522.0
FoxNews;17542083.0
ABC;13798424.0
Reuters;19557757.0
el_pais;6605583.0
abc_es;1533756.0
antena3com;1360466.0
noticias_cuatro;805537.0
24h_tve;1270043.0
ecosdelbalon;38806.0
NYT4thDownBot;25849.0
baseballpro;115627.0
FutbolAvanzado;25187.0
NBA;27483356.0
LaLiga;3547007.0
AnalyseSport;8557.0
Olympics;6227847.0
wizard_cfc;16182.0
ThatGuyTipsterr;9111.0
moneyballfutbol;2822.0
Multi_Apuesta;50363.0
AP_Sports;120402.0
sportbible;1299828.0
SportsCenter;35631861.0
livefolk;204.0
travel;6523089.0
NatGeoTravel;6657450.0
TravelLeisure;4032223.0
Earth_Pics;
EarthPix;3096506.0
frugaltraveler;516980.0
nytimestravel;1143999.0
BBC_Travel;986105.0
TelegraphTravel;286518.0
TravelMagazine;2798919.0
CNTraveler;3254061.0
ThatsEarth;1461564.0
chicagoideas;39415.0
ViajaEnElMundo;131999.0
TheBlondeSalad;9979.0
kenzo;326351.0
voguemagazine;13699710.0
BritishVogue;3612365.0
ELLEmagazine;6874944.0
Cosmopolitan;1728525.0
Fashionista_com;2255837.0
WhoWhatWear;2328623.0
TheCut;1431722.0
TimesFashion;2507016.0
ELLEUK;1220788.0
LondonFashionWk;1271619.0
VictoriasSecret;11529188.0
styleinmadrid;28480.0
RevistaInStyle;31151.0
Sephora;2392747.0
CiudadanosCs;466427.0
Bcnisnotcat_;57615.0
AMI__cat;38479.0
TheDemocrats;1434374.0
epp;125312.0
ahorapodemos;1329292.0
CNNPolitics;2650634.0
bpolitics;238120.0
ABCPolitics;692743.0
MSNBC;2060888.0
latimes;3234164.0
thehill;3049095.0
vox_es;73293.0
cope_es;342989.0
OndaCero_es;497070.0
UberFacts;14518015.0
BuzzFeed;6510237.0
SavedYouAClick;260138.0
MoviePass;48297.0
kalesalad;166843.0
cuantocabron;208911.0
ladbible;2054861.0
mental_floss;653659.0
elmundotoday;1177009.0
Cabronazi;255013.0
lavecinarubia;402551.0
pourmecoffee;281248.0
NFL_Memes;441722.0
9GAG;14900557.0
funnyordie;14404606.0
netflix;4862432.0
hbo;1935588.0
FOXTV;1262079.0
SonyPicsTeens;2980432.0
Miramax;427663.0
NBC;1809148.0
La1_tve;536461.0
laSextaTV;899973.0
9gagtv;187055.0
PrimeVideo;374929.0
hulu;535945.0
CBS;980743.0
shows_tv;14348.0
MarvelStudios;839349.0
TwitterMovies;7198578.0
policia;3149978.0
CIA;2296879.0
WhiteHouse;16870721.0
casareal;843624.0
nswpolice;154033.0
guardiacivil;1218791.0
DGTes;203650.0
esa;834898.0
NASA;29063151.0
CERN;2598393.0
EU_Commission;924438.0
UN;10241706.0
EUCouncil;320258.0
ONU_es;964704.0
UNICEF;7204171.0
sockington;1420252.0
Fascinatingpics;6753345.0
shedancestibet;24033.0
A_single_bear;113591.0
BronxZoosCobra;158831.0
MoveTheWorld;118639.0
peta;1062991.0
dodo;801522.0
BuzzFeedAnimals;107567.0
NationalZoo;448827.0
fabulousanimals;
darth;121473.0
EmrgencyKittens;6862651.0
AnimalPlanet;1618334.0
natgeowild;928053.0
TEDTalks;11062967.0
materia_ciencia;729930.0
cienciaplus;400909.0
WIREDScience;2099672.0
ScienceMarchDC;356010.0
sciencemagazine;1131978.0
sciencemuseum;668484.0
aaas;89716.0
NSF;1091827.0
PopSci;1265458.0
scienceworldca;17613.0
rdfrs;81765.0
MarsCuriosity;3940283.0
cienciatmx;23.0
CdeCiencia;57604.0
StockTwits;601153.0
business;4688484.0
1Brokercom;4759.0
LSFinancial;15386.0
TV_TradingIdeas;13919.0
mytradingbuddy;84389.0
HarvardBiz;5386004.0
BabyPips;87942.0
FTTradingRoom;23751.0
TradingNation;17455.0
BigCheds;55134.0
DanielsTrading;6471.0
canuck2usa;43932.0
BourseetTrading;15719.0
mytradingbuddy;84389.0
tradingview;42873.0
LSFinancial;15386.0
TV_TradingIdeas;13919.0
