Account;2018-03-19
bonappetit;3221573.0
NatGeoFood;35877.0
TwitterFood;838653.0
Fooddotcom;30.0
newfoodeconomy;6201.0
bflay;2715616.0
RealCarrotFacts;221157.0
NYTFood;1420344.0
CivilEats;92639.0
Seriouseats;806596.0
RealCapnCrunch;41686.0
iowagirleats;15288.0
spoonuniversity;17273.0
foodandwine;6680566.0
epicurious;2801975.0
Newsweek;3425168.0
nytimes;41470501.0
NBCNews;5940658.0
CNN;39789103.0
washingtonpost;12276076.0
BBCWorld;22914068.0
WSJ;15641464.0
FoxNews;17447358.0
ABC;13717439.0
Reuters;19508874.0
el_pais;6594114.0
abc_es;1528917.0
antena3com;1358889.0
noticias_cuatro;803801.0
24h_tve;1267924.0
ecosdelbalon;38745.0
NYT4thDownBot;25902.0
baseballpro;115229.0
FutbolAvanzado;24726.0
NBA;27438452.0
LaLiga;3530700.0
AnalyseSport;8565.0
Olympics;6181744.0
wizard_cfc;15703.0
ThatGuyTipsterr;8484.0
moneyballfutbol;2817.0
Multi_Apuesta;50240.0
AP_Sports;120255.0
sportbible;
SportsCenter;35590168.0
livefolk;204.0
travel;6395184.0
NatGeoTravel;6611572.0
TravelLeisure;4024971.0
Earth_Pics;
EarthPix;3052200.0
frugaltraveler;516973.0
nytimestravel;1143199.0
BBC_Travel;984556.0
TelegraphTravel;285507.0
TravelMagazine;2792665.0
CNTraveler;3230119.0
ThatsEarth;1462270.0
chicagoideas;39378.0
ViajaEnElMundo;131325.0
TheBlondeSalad;9942.0
kenzo;322204.0
voguemagazine;13679455.0
BritishVogue;3609921.0
ELLEmagazine;6868389.0
Cosmopolitan;1727237.0
Fashionista_com;2254413.0
WhoWhatWear;2329353.0
TheCut;1431118.0
TimesFashion;2506396.0
ELLEUK;1220838.0
LondonFashionWk;1270101.0
VictoriasSecret;11513417.0
styleinmadrid;28479.0
RevistaInStyle;31120.0
Sephora;2389588.0
CiudadanosCs;464382.0
Bcnisnotcat_;55275.0
AMI__cat;37672.0
TheDemocrats;1431251.0
epp;125118.0
ahorapodemos;1327454.0
CNNPolitics;2638261.0
bpolitics;236824.0
ABCPolitics;690979.0
MSNBC;2051500.0
latimes;3224120.0
thehill;3030889.0
vox_es;71390.0
cope_es;342372.0
OndaCero_es;496089.0
UberFacts;14519249.0
BuzzFeed;6492470.0
SavedYouAClick;259837.0
MoviePass;47391.0
kalesalad;164526.0
cuantocabron;209134.0
ladbible;2051505.0
mental_floss;650639.0
elmundotoday;1171224.0
Cabronazi;254006.0
lavecinarubia;396124.0
pourmecoffee;280842.0
NFL_Memes;442015.0
9GAG;14771440.0
funnyordie;14398993.0
netflix;4828504.0
hbo;1930438.0
FOXTV;1259918.0
SonyPicsTeens;2981464.0
Miramax;428094.0
NBC;1805836.0
La1_tve;535224.0
laSextaTV;898175.0
9gagtv;187116.0
PrimeVideo;373390.0
hulu;532023.0
CBS;978590.0
shows_tv;14342.0
MarvelStudios;799151.0
TwitterMovies;7196183.0
policia;3141577.0
CIA;2290730.0
WhiteHouse;16813981.0
casareal;838511.0
nswpolice;153668.0
guardiacivil;1211285.0
DGTes;202583.0
esa;830864.0
NASA;28900967.0
CERN;2581886.0
EU_Commission;919240.0
UN;10197338.0
EUCouncil;317211.0
ONU_es;958101.0
UNICEF;7178485.0
sockington;1419925.0
Fascinatingpics;6631685.0
shedancestibet;23974.0
A_single_bear;113125.0
BronxZoosCobra;158959.0
MoveTheWorld;118324.0
peta;1062374.0
dodo;783048.0
BuzzFeedAnimals;106411.0
NationalZoo;430271.0
fabulousanimals;
darth;120225.0
EmrgencyKittens;6719670.0
AnimalPlanet;1604329.0
natgeowild;926064.0
TEDTalks;11035581.0
materia_ciencia;722374.0
cienciaplus;398644.0
WIREDScience;2099181.0
ScienceMarchDC;356223.0
sciencemagazine;1126720.0
sciencemuseum;667145.0
aaas;89044.0
NSF;1090400.0
PopSci;1264384.0
scienceworldca;17540.0
rdfrs;81002.0
MarsCuriosity;3933354.0
cienciatmx;23.0
CdeCiencia;56500.0
StockTwits;600127.0
business;4665749.0
1Brokercom;4715.0
LSFinancial;15374.0
TV_TradingIdeas;13916.0
mytradingbuddy;84291.0
HarvardBiz;5370259.0
BabyPips;87485.0
FTTradingRoom;23672.0
TradingNation;17209.0
BigCheds;52056.0
DanielsTrading;6460.0
canuck2usa;43624.0
BourseetTrading;15411.0
mytradingbuddy;84291.0
tradingview;42331.0
LSFinancial;15374.0
TV_TradingIdeas;13916.0
