Account;2018-04-14
bonappetit;3261041.0
NatGeoFood;36151.0
TwitterFood;839406.0
Fooddotcom;30.0
newfoodeconomy;6488.0
bflay;2749284.0
RealCarrotFacts;220185.0
NYTFood;1423083.0
CivilEats;93223.0
Seriouseats;816922.0
RealCapnCrunch;41704.0
iowagirleats;15280.0
spoonuniversity;17300.0
foodandwine;6696825.0
epicurious;2811873.0
Newsweek;3430769.0
nytimes;41804814.0
NBCNews;6023812.0
CNN;40140760.0
washingtonpost;12445098.0
BBCWorld;23187166.0
WSJ;15744575.0
FoxNews;17692690.0
ABC;13910183.0
Reuters;19645995.0
el_pais;6629127.0
abc_es;1541727.0
antena3com;1363151.0
noticias_cuatro;807808.0
24h_tve;1272890.0
ecosdelbalon;38908.0
NYT4thDownBot;25802.0
baseballpro;116147.0
FutbolAvanzado;25857.0
NBA;27554294.0
LaLiga;3578883.0
AnalyseSport;8542.0
Olympics;6314577.0
wizard_cfc;16580.0
ThatGuyTipsterr;9493.0
moneyballfutbol;2848.0
Multi_Apuesta;50441.0
AP_Sports;120612.0
sportbible;1299382.0
SportsCenter;35706363.0
livefolk;205.0
travel;6674736.0
NatGeoTravel;6725136.0
TravelLeisure;4041122.0
Earth_Pics;
EarthPix;3146950.0
frugaltraveler;517238.0
nytimestravel;1145809.0
BBC_Travel;988578.0
TelegraphTravel;287977.0
TravelMagazine;2808569.0
CNTraveler;3293841.0
ThatsEarth;1464775.0
chicagoideas;39492.0
ViajaEnElMundo;132607.0
TheBlondeSalad;9982.0
kenzo;330237.0
voguemagazine;13728335.0
BritishVogue;3615910.0
ELLEmagazine;6886799.0
Cosmopolitan;1731781.0
Fashionista_com;2258684.0
WhoWhatWear;2328373.0
TheCut;1432993.0
TimesFashion;2508379.0
ELLEUK;1220976.0
LondonFashionWk;1273629.0
VictoriasSecret;11549488.0
styleinmadrid;28477.0
RevistaInStyle;31178.0
Sephora;2399497.0
CiudadanosCs;468834.0
Bcnisnotcat_;58734.0
AMI__cat;39050.0
TheDemocrats;1437736.0
epp;125608.0
ahorapodemos;1331678.0
CNNPolitics;2663413.0
bpolitics;239050.0
ABCPolitics;695530.0
MSNBC;2088561.0
latimes;3248830.0
thehill;3070085.0
vox_es;75184.0
cope_es;343935.0
OndaCero_es;498465.0
UberFacts;14520221.0
BuzzFeed;6534499.0
SavedYouAClick;260211.0
MoviePass;49528.0
kalesalad;170860.0
cuantocabron;208623.0
ladbible;2060050.0
mental_floss;657400.0
elmundotoday;1184892.0
Cabronazi;256464.0
lavecinarubia;413584.0
pourmecoffee;281741.0
NFL_Memes;441171.0
9GAG;15069143.0
funnyordie;14413995.0
netflix;4932800.0
hbo;1944903.0
FOXTV;1264748.0
SonyPicsTeens;2977896.0
Miramax;427074.0
NBC;1817074.0
La1_tve;538356.0
laSextaTV;902504.0
9gagtv;186905.0
PrimeVideo;376185.0
hulu;538369.0
CBS;984133.0
shows_tv;14396.0
MarvelStudios;905783.0
TwitterMovies;7200700.0
policia;3160633.0
CIA;2307890.0
WhiteHouse;16974755.0
casareal;851031.0
nswpolice;155054.0
guardiacivil;1231058.0
DGTes;204761.0
esa;841744.0
NASA;29300815.0
CERN;2621606.0
EU_Commission;932097.0
UN;10320483.0
EUCouncil;323529.0
ONU_es;975348.0
UNICEF;7237867.0
sockington;1423255.0
Fascinatingpics;6920647.0
shedancestibet;24103.0
A_single_bear;114509.0
BronxZoosCobra;158785.0
MoveTheWorld;119122.0
peta;1066942.0
dodo;834001.0
BuzzFeedAnimals;108567.0
NationalZoo;458903.0
fabulousanimals;
darth;123496.0
EmrgencyKittens;7058841.0
AnimalPlanet;1640028.0
natgeowild;931361.0
TEDTalks;11111779.0
materia_ciencia;738742.0
cienciaplus;403236.0
WIREDScience;2101317.0
ScienceMarchDC;356978.0
sciencemagazine;1140334.0
sciencemuseum;671230.0
aaas;90951.0
NSF;1095581.0
PopSci;1268098.0
scienceworldca;17711.0
rdfrs;82629.0
MarsCuriosity;3950503.0
cienciatmx;24.0
CdeCiencia;59230.0
StockTwits;602477.0
business;4717827.0
1Brokercom;4813.0
LSFinancial;15408.0
TV_TradingIdeas;14029.0
mytradingbuddy;84422.0
HarvardBiz;5413925.0
BabyPips;88523.0
FTTradingRoom;23850.0
TradingNation;17808.0
BigCheds;57318.0
DanielsTrading;6460.0
canuck2usa;44378.0
BourseetTrading;16048.0
tradingview;43743.0
