Account;2018-03-25
bonappetit;3231043.0
NatGeoFood;35959.0
TwitterFood;838802.0
Fooddotcom;30.0
newfoodeconomy;6310.0
bflay;2724675.0
RealCarrotFacts;220930.0
NYTFood;1420775.0
CivilEats;92787.0
Seriouseats;809165.0
RealCapnCrunch;41694.0
iowagirleats;15285.0
spoonuniversity;17283.0
foodandwine;6685138.0
epicurious;2804258.0
Newsweek;3426499.0
nytimes;41545887.0
NBCNews;5961154.0
CNN;39867159.0
washingtonpost;12315878.0
BBCWorld;22972964.0
WSJ;15665283.0
FoxNews;17500899.0
ABC;13768922.0
Reuters;19535442.0
el_pais;6600949.0
abc_es;1531792.0
antena3com;1359835.0
noticias_cuatro;804821.0
24h_tve;1269233.0
ecosdelbalon;38758.0
NYT4thDownBot;25863.0
baseballpro;115383.0
FutbolAvanzado;24981.0
NBA;27464133.0
LaLiga;3540583.0
AnalyseSport;8564.0
Olympics;6206429.0
wizard_cfc;16037.0
ThatGuyTipsterr;8942.0
moneyballfutbol;2817.0
Multi_Apuesta;50343.0
AP_Sports;120323.0
sportbible;
SportsCenter;35615326.0
livefolk;205.0
travel;6464913.0
NatGeoTravel;6638115.0
TravelLeisure;4028967.0
Earth_Pics;
EarthPix;3079203.0
frugaltraveler;516945.0
nytimestravel;1143654.0
BBC_Travel;985435.0
TelegraphTravel;286037.0
TravelMagazine;2796245.0
CNTraveler;3243715.0
ThatsEarth;1461834.0
chicagoideas;39400.0
ViajaEnElMundo;131681.0
TheBlondeSalad;9960.0
kenzo;325176.0
voguemagazine;13691108.0
BritishVogue;3611292.0
ELLEmagazine;6872139.0
Cosmopolitan;1727893.0
Fashionista_com;2255210.0
WhoWhatWear;2328918.0
TheCut;1431412.0
TimesFashion;2506669.0
ELLEUK;1220869.0
LondonFashionWk;1270791.0
VictoriasSecret;11521959.0
styleinmadrid;28482.0
RevistaInStyle;31141.0
Sephora;2390796.0
CiudadanosCs;465722.0
Bcnisnotcat_;56695.0
AMI__cat;38122.0
TheDemocrats;1433391.0
epp;125261.0
ahorapodemos;1328553.0
CNNPolitics;2646124.0
bpolitics;237737.0
ABCPolitics;692462.0
MSNBC;2058061.0
latimes;3229873.0
thehill;3041481.0
vox_es;72730.0
cope_es;342746.0
OndaCero_es;496678.0
UberFacts;14519818.0
BuzzFeed;6503106.0
SavedYouAClick;259963.0
MoviePass;47960.0
kalesalad;165798.0
cuantocabron;209004.0
ladbible;2053587.0
mental_floss;652178.0
elmundotoday;1174253.0
Cabronazi;254548.0
lavecinarubia;399658.0
pourmecoffee;280994.0
NFL_Memes;441853.0
9GAG;14842302.0
funnyordie;14402016.0
netflix;4844535.0
hbo;1932789.0
FOXTV;1261134.0
SonyPicsTeens;2981059.0
Miramax;427846.0
NBC;1807694.0
La1_tve;535960.0
laSextaTV;899248.0
9gagtv;187062.0
PrimeVideo;374301.0
hulu;532578.0
CBS;979820.0
shows_tv;14337.0
MarvelStudios;819094.0
TwitterMovies;7197895.0
policia;3146419.0
CIA;2294070.0
WhiteHouse;16849816.0
casareal;841389.0
nswpolice;153869.0
guardiacivil;1216044.0
DGTes;203143.0
esa;832762.0
NASA;28993111.0
CERN;2590546.0
EU_Commission;922391.0
UN;10222674.0
EUCouncil;319090.0
ONU_es;962330.0
UNICEF;7195734.0
sockington;1419753.0
Fascinatingpics;6695462.0
shedancestibet;24001.0
A_single_bear;113262.0
BronxZoosCobra;158928.0
MoveTheWorld;118480.0
peta;1062625.0
dodo;790997.0
BuzzFeedAnimals;106790.0
NationalZoo;440282.0
fabulousanimals;
darth;120895.0
EmrgencyKittens;6798543.0
AnimalPlanet;1611988.0
natgeowild;927274.0
TEDTalks;11050660.0
materia_ciencia;726644.0
cienciaplus;400105.0
WIREDScience;2099451.0
ScienceMarchDC;356157.0
sciencemagazine;1129563.0
sciencemuseum;667776.0
aaas;89448.0
NSF;1091127.0
PopSci;1265024.0
scienceworldca;17591.0
rdfrs;81386.0
MarsCuriosity;3936861.0
cienciatmx;23.0
CdeCiencia;57190.0
StockTwits;600598.0
business;4678547.0
1Brokercom;4752.0
LSFinancial;15386.0
TV_TradingIdeas;13881.0
mytradingbuddy;84389.0
HarvardBiz;5378884.0
BabyPips;87713.0
FTTradingRoom;23708.0
TradingNation;17318.0
BigCheds;54090.0
DanielsTrading;6467.0
canuck2usa;43747.0
BourseetTrading;15561.0
mytradingbuddy;84389.0
tradingview;42621.0
LSFinancial;15386.0
TV_TradingIdeas;13881.0
