Tweet_id,User,Links
969089565674950657,foodandwine,trib.al/tEWHEkn
969089565674950657,foodandwine,bit.ly/2F3BDyW
969089565674950657,foodandwine,trib.al/n39rpAk
969089565674950657,foodandwine,bit.ly/2F3aaNN
969089565674950657,foodandwine,bit.ly/2F35U0J
969089565674950657,foodandwine,trib.al/nSW3PFR
969089565674950657,foodandwine,bit.ly/2FdARhW
969089565674950657,foodandwine,bit.ly/2CN2byd
969089565674950657,foodandwine,trib.al/6tR3Y6A
969089565674950657,foodandwine,bit.ly/2CPvEYt
969089565674950657,foodandwine,trib.al/zlsDGB0
969089565674950657,foodandwine,bit.ly/2FbaM38
969089565674950657,foodandwine,bit.ly/2COjHSX
969089565674950657,foodandwine,twitter.com/i/web/status/9…
969089565674950657,foodandwine,bit.ly/2F18BzJ
969089565674950657,foodandwine,trib.al/MzVsrbT
969089565674950657,foodandwine,bit.ly/2FafhLr
969089565674950657,foodandwine,bit.ly/2F124Fj
969089565674950657,foodandwine,trib.al/TWNswA1
969089565674950657,foodandwine,bit.ly/2FcMRjF
969089565674950657,foodandwine,bit.ly/2Fgys6p
969089565674950657,foodandwine,trib.al/agijiDW
969089565674950657,foodandwine,bit.ly/2F0J2Po
969089565674950657,foodandwine,trib.al/zYtLNKt
969089565674950657,foodandwine,bit.ly/2F1i8Ha
969089565674950657,foodandwine,bit.ly/2COXdBi
969089565674950657,foodandwine,trib.al/yvU6iJo
969203375870042112,epicurious,trib.al/nrEiVZ4
969203375870042112,epicurious,trib.al/3KAjbG7
969203375870042112,epicurious,trib.al/T8BfRHm
969203375870042112,epicurious,trib.al/YPQK1o2
969203375870042112,epicurious,trib.al/YalvWYi
969203375870042112,epicurious,trib.al/HOFLgVr
969203375870042112,epicurious,trib.al/jAOmkto
969203375870042112,epicurious,trib.al/8jqzrOI
969203375870042112,epicurious,trib.al/BOnQaK6
969203375870042112,epicurious,trib.al/331p5HD
969203375870042112,epicurious,trib.al/KBCOtfC
969203375870042112,epicurious,trib.al/LGLiEu9
969203375870042112,epicurious,trib.al/oGUijox
969203375870042112,epicurious,trib.al/gy3YGNH
969203375870042112,epicurious,trib.al/XVyI5c3
969203375870042112,epicurious,trib.al/ROdDtxA
969089981565341696,Newsweek,bit.ly/2F3LCnZ
969089981565341696,Newsweek,bit.ly/2F78ZsL
969089981565341696,Newsweek,bit.ly/2FJJmPB
969089981565341696,Newsweek,bit.ly/2FcvorP
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2FH59aA
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2HY5gzd
969089981565341696,Newsweek,bit.ly/2F3vi6t
969089981565341696,Newsweek,bit.ly/2t7cPjL
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2HWfC2X
969089981565341696,Newsweek,bit.ly/2HYS9OA
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2HSQDNT
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2FIOu6F
969089981565341696,Newsweek,bit.ly/2HY1Ts2
969089981565341696,Newsweek,bit.ly/2F5Rw3T
969089981565341696,Newsweek,bit.ly/2F7FqHz
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2FJHyWZ
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2HWfmRx
969089981565341696,Newsweek,bit.ly/2F3Y173
969089981565341696,Newsweek,bit.ly/2FK7eTt
969089981565341696,Newsweek,bit.ly/2t9mqqs
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2Fh8L5o
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2FceQjL
969089981565341696,Newsweek,bit.ly/2oIrlcA
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2HX0xy3
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2F427A9
969089981565341696,Newsweek,bit.ly/2F5Iu70
969089981565341696,Newsweek,bit.ly/2HYToNK
969089981565341696,Newsweek,bit.ly/2oIRPKK
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2t9EH6U
969089981565341696,Newsweek,bit.ly/2F3AX8t
969089981565341696,Newsweek,bit.ly/2FeO7CT
969089981565341696,Newsweek,bit.ly/2FIoOHc
969089981565341696,Newsweek,bit.ly/2F7vmyh
969089981565341696,Newsweek,bit.ly/2HUWxxV
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2F21zqr
969089981565341696,Newsweek,bit.ly/2F4Lg0d
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2oIzhKO
969089981565341696,Newsweek,bit.ly/2FIFDC5
969089981565341696,Newsweek,bit.ly/2Fd9xAl
969089981565341696,Newsweek,bit.ly/2FbIPs5
969089981565341696,Newsweek,bit.ly/2HXuzBs
969089981565341696,Newsweek,bit.ly/2F70g9R
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2FHi7VN
969089981565341696,Newsweek,bit.ly/2t709JY
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2t8hHFl
969089981565341696,Newsweek,bit.ly/2t6D2Px
969089981565341696,Newsweek,bit.ly/2F4Z4Ux
969089981565341696,Newsweek,bit.ly/2taXdfm
969089981565341696,Newsweek,bit.ly/2FI9vyq
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2F3ClIs
969089981565341696,Newsweek,bit.ly/2FggznY
969089981565341696,Newsweek,bit.ly/2oLJCWu
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2FGCFxO
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2FIRfF1
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2t7bhGx
969089981565341696,Newsweek,bit.ly/2oGC7A3
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2F7NSq9
969089981565341696,Newsweek,bit.ly/2FIiOhU
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2FGcC9W
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2oHovnU
969089981565341696,Newsweek,bit.ly/2oGASAU
969089981565341696,Newsweek,bit.ly/2F2B0pn
969089981565341696,Newsweek,bit.ly/2HTKJfl
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2t4ZgkR
969089981565341696,Newsweek,bit.ly/2t6odMU
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2F3hNzv
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2FFDebd
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2EZRyKt
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2FFAWJ8
969089981565341696,Newsweek,bit.ly/2HPAt7Q
969089981565341696,Newsweek,bit.ly/2FGabEA
969089981565341696,Newsweek,bit.ly/2t5Dfmd
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2FE9ICE
969089981565341696,Newsweek,bit.ly/2FFnSDC
969089981565341696,Newsweek,bit.ly/2sZUy82
969089981565341696,Newsweek,bit.ly/2oGoXTt
969089981565341696,Newsweek,twitter.com/i/web/status/9…
969089981565341696,Newsweek,bit.ly/2t6dYbm
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nytimes.com/2018/03/01/bus…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2t4gf7a
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2taApfy
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2FIMqvm
969090393554944000,nytimes,nyti.ms/2FgfYTb
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2HX8rr8
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2F7MRya
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2F7eMyv
969090393554944000,nytimes,nyti.ms/2FJZFvU
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2F4ARS8
969090393554944000,nytimes,nyti.ms/2F7DFtW
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2FeeJEc
969090393554944000,nytimes,nyti.ms/2oJ6rKp
969090393554944000,nytimes,nyti.ms/2oHMinX
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2oK6pBJ
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2HSfd1g
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2HUZuP3
969090393554944000,nytimes,nyti.ms/2t9dH7L
969090393554944000,nytimes,nyti.ms/2F6sHok
969090393554944000,nytimes,nyti.ms/2F3jsoN
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2FfqJp6
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2FH00iQ
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2oFMV1e
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2F5VUzE
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2v8FMHQ
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2F2ZDhC
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2HQKWzP
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2F3uE4J
969090393554944000,nytimes,nyti.ms/2FbuqMm
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2oEWj58
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2FEz6YV
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2Fe8ZKM
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2F3SSMg
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2t1eI1s
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2FIguYg
969090393554944000,nytimes,nyti.ms/2F3pytG
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2Ff5bZF
969090393554944000,nytimes,nyti.ms/2BUN5Kd
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2FE8xTC
969090393554944000,nytimes,twitter.com/i/web/status/9…
969090393554944000,nytimes,nyti.ms/2F2kVvC
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,nbcnews.to/2FgkkcZ
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,nbcnews.to/2GXMwim
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,nbcnews.to/2GVEIxi
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,nbcnews.to/2Fdk9iW
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,nbcnews.to/2GYc52L
969089907217125376,NBCNews,twitter.com/i/web/status/9…
969089907217125376,NBCNews,twitter.com/i/web/status/9…
