Tweet_id,User,Mentions
969088594282471424,FoxNews,Jesse Watters
969088594282471424,FoxNews,Newt Gingrich
969088594282471424,FoxNews,LACOSTE
969088594282471424,FoxNews,Pizza Hut
969088594282471424,FoxNews,Rep. Kevin Brady
969088594282471424,FoxNews,Ari Fleischer
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Donald J. Trump
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Brooke Singman
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,Melania Trump
969088594282471424,FoxNews,Dr. Robert Jeffress
969088594282471424,FoxNews,Donald J. Trump
969088594282471424,FoxNews,Stephen Hayes
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Donald J. Trump
969088594282471424,FoxNews,Sarah Sanders
969088594282471424,FoxNews,Sarah Sanders
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Sarah Sanders
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Sarah Sanders
969088594282471424,FoxNews,Ben Carson
969088594282471424,FoxNews,Sarah Sanders
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Sarah Sanders
969088594282471424,FoxNews,Donald J. Trump
969088594282471424,FoxNews,US Labor Department
969088594282471424,FoxNews,David Bossie
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Dana Loesch
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Newt Gingrich
969088594282471424,FoxNews,Judge Napolitano
969088594282471424,FoxNews,Melania Trump
969088594282471424,FoxNews,Marco Rubio
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,Laura Bush
969088594282471424,FoxNews,Casey Stegall
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Rep. Jim Jordan
969088594282471424,FoxNews,The White House
969088594282471424,FoxNews,Dr. Robert Jeffress
969088594282471424,FoxNews,Fox News Opinion
969088594282471424,FoxNews,David Bossie
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Doug Schoen
969088594282471424,FoxNews,Laura Bush
969088594282471424,FoxNews,Donald J. Trump
969088594282471424,FoxNews,Rep. Steve Scalise
969088594282471424,FoxNews,Brooke Singman
969088594282471424,FoxNews,Senator Joe Manchin
969088594282471424,FoxNews,Pizza Hut
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,Sasha Savitsky
969088594282471424,FoxNews,Judge Napolitano
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,FOX Business
969088594282471424,FoxNews,Barbra Streisand
969088594282471424,FoxNews,Hillary Clinton
969088594282471424,FoxNews,Kellyanne Conway
969088594282471424,FoxNews,Kellyanne Conway
969088594282471424,FoxNews,Tammy Bruce
969088594282471424,FoxNews,Travis Fedschun
969088594282471424,FoxNews,Senator Pat Toomey
969088594282471424,FoxNews,NRA
969088594282471424,FoxNews,Christopher Carbone
969088594282471424,FoxNews,Brian Kilmeade
969088594282471424,FoxNews,U.S. Marines
969088594282471424,FoxNews,Fox News Opinion
969088594282471424,FoxNews,FOX & friends
969088594282471424,FoxNews,Christopher Carbone
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,FOX & friends
969088594282471424,FoxNews,U.S. Air Force
969088594282471424,FoxNews,Sadie Robertson
969088594282471424,FoxNews,Fox News Opinion
969088594282471424,FoxNews,Max Lucado
969088594282471424,FoxNews,Fox News Opinion
969088594282471424,FoxNews,Steve Daines
969088594282471424,FoxNews,Steve Daines
969088594282471424,FoxNews,Dr. Roger Marshall
969088594282471424,FoxNews,Fox News Opinion
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Donald J. Trump
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,amy walter
969088594282471424,FoxNews,Donald J. Trump
969088594282471424,FoxNews,Walmart
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Paul Ryan
969088594282471424,FoxNews,Donald J. Trump
969088594282471424,FoxNews,Ron DeSantis
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Karl Rove
969088594282471424,FoxNews,The White House
969088594282471424,FoxNews,Donald J. Trump
969088594282471424,FoxNews,Patrick McHenry
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Donald J. Trump
969088594282471424,FoxNews,Melania Trump
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Brit Hume
969088594282471424,FoxNews,Donald J. Trump
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Tom Bevan
969088594282471424,FoxNews,President Trump
969088594282471424,FoxNews,Tomi Lahren
969088613618257920,ABC,ABC News
969088613618257920,ABC,Nightline
969088613618257920,ABC,Oprah Winfrey
969088613618257920,ABC,Nightline
969088613618257920,ABC,Juju Chang
969088613618257920,ABC,World News Tonight
969088613618257920,ABC,David Muir
969088613618257920,ABC,Cecilia Vega
969088613618257920,ABC,Sarah Sanders
969088613618257920,ABC,ABC News Politics
969088613618257920,ABC,ABC News
969088613618257920,ABC,Cecilia Vega
969088613618257920,ABC,Sarah Sanders
969088613618257920,ABC,The View
969088613618257920,ABC,Good Morning America
969088613618257920,ABC,Good Morning America
969088613618257920,ABC,Dwayne Johnson
969088613618257920,ABC,Jimmy Kimmel
969088613618257920,ABC,Tiffany Haddish
969088613618257920,ABC,Good Morning America
969088613618257920,ABC,Rebecca Jarvis
969088613618257920,ABC,Good Morning America
969088613618257920,ABC,Terry Moran
969088613618257920,ABC,Good Morning America
969088613618257920,ABC,Cecilia Vega
969089910580932608,Reuters,ReutersBreakingviews
969089910580932608,Reuters,ClaraFerreiraMarques
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,ReutersBreakingviews
969089910580932608,Reuters,Jim Drury
969089910580932608,Reuters,ReutersBreakingviews
969089910580932608,Reuters,Douglas Busvine
969089910580932608,Reuters,Jim Drury
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Douglas Busvine
969089910580932608,Reuters,ReutersBreakingviews
969089910580932608,Reuters,Douglas Busvine
969089910580932608,Reuters,Jim Drury
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,ReutersBreakingviews
969089910580932608,Reuters,Reuters Showbiz
969089910580932608,Reuters,Reuters Showbiz
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters Opinion
969089910580932608,Reuters,Reuters TV
