,Account,Cluster,,,,,,
TEDTalks,TEDTalks,2,,,,,,
TelegraphTravel,TelegraphTravel,3,,,,,,
ThatGuyTipsterr,ThatGuyTipsterr,3,,,,,,
ThatsEarth,ThatsEarth,3,,,,,,
TheBlondeSalad,TheBlondeSalad,3,,,,,,
TheCut,TheCut,3,,,,,,
TheDemocrats,TheDemocrats,3,,,,,,
thehill,thehill,1,,,,,,
TimesFashion,TimesFashion,3,,,,,,
TradingNation,TradingNation,3,,,,,,
tradingview,tradingview,3,,,,,,
travel,travel,1,,,,,,
TravelLeisure,TravelLeisure,1,,,,,,
TravelMagazine,TravelMagazine,1,,,,,,
TV_TradingIdeas,TV_TradingIdeas,3,,,,,,
TwitterFood,TwitterFood,3,,,,,,
TwitterMovies,TwitterMovies,1,,,,,,
UberFacts,UberFacts,2,,,,,,
UN,UN,2,,,,,,
UNICEF,UNICEF,1,,,,,,
ViajaEnElMundo,ViajaEnElMundo,3,,,,,,
VictoriasSecret,VictoriasSecret,2,,,,,,
voguemagazine,voguemagazine,2,,,,,,
vox_es,vox_es,3,,,,,,
washingtonpost,washingtonpost,2,,,,,,
WhiteHouse,WhiteHouse,2,,,,,,
WhoWhatWear,WhoWhatWear,3,,,,,,
WIREDScience,WIREDScience,3,,,,,,
wizard_cfc,wizard_cfc,3,,,,,,
WSJ,WSJ,2,,,,,,
